"name","asset_tag","serial_number","location","location.city","u_building","u_room","u_floor","po_number","u_scheduled_retirement","operational_status","u_last_rounded_date","comments","u_location_comments","u_device_rounding","u_department_location","location.u_deskside_assignment_group","u_category","model_id","short_description"
"LD031235","HSS-8097464","PF5WPP0T","VIHA-CRG-Campbell River General Hospital-Main Building-Basement 1","Campbell River","Main Building","","0","ISLHTRP20260202-044","03/31/2030","Operational","","","","Excluded","WFH - Administration","NTT-Deskside Services-CampbellRiver-Staffed","Laptop","LENOVO THINKPAD T14 GEN6",""
"LD048251","HSS-8097463","PF5WYA6K","VIHA-CRG-Campbell River General Hospital-Main Building-Basement 1","Campbell River","Main Building","","B1","ISLHTRP20260202-043","03/31/2030","Operational","","","","Excluded","Device Integration","NTT-Deskside Services-CampbellRiver-Staffed","Laptop","LENOVO THINKPAD T14 GEN6",""
"LD091674","HSS-8097456","PF5WK1ZQ","VIHA-CRMHAS-Campbell River Mental Health & Addiction Services-Main Building-2nd Floor","Campbell River","Main","","2nd","ISLHTRP20260202-036","03/31/2030","Operational","","","","Excluded","CRMHSU 1040 Shoppers Row Campbell River","NTT-Deskside Services-CampbellRiver-Local","Laptop","LENOVO THINKPAD T14 GEN6",""
"AO1000086","HSS-8097293","T24A24M010","VIHA-CRG-Campbell River General Hospital-Main Building-Basement 1","Campbell River","","","","ISLHTRP20260126-096","05/31/2030","Operational","","","","","","NTT-Deskside Services-CampbellRiver-Staffed","All-in-One","TANGENT MEDIX 24v2 32GB",""
"LD061752","HSS-8099458","SD005QMP","VIHA-CRG-Campbell River General Hospital","Campbell River","WFH","","3","ISLHTRP20260706-065","07/31/2030","Operational","","","","Excluded","Health Information Management","NTT-Deskside Services-CampbellRiver-Staffed","Laptop","LENOVO THINKPAD T14 GEN6 NT FPR 2x1",""
"LD058776","HSS-8098539","PF620QZM","VIHA-ZHU-Zeballos Health Unit-Main Building-1st Floor","Zeballos","Zeballos Health Unit","","1","ISLHTRP20260427-044","05/31/2030","Operational","","","","General Rounding","Zeballos Health Unit","NTT-Deskside Services-CampbellRiver-Remote","Laptop","LENOVO THINKPAD T14 GEN6 NT FPR 2x1",""
"LD021663","HSS-8097462","PF5WSAK9","VIHA-CRG-Campbell River General Hospital-Main Building-Basement 1","Campbell River","Main Building","","B1","ISLHTRP20260202-042","03/31/2030","Operational","","","","Excluded","","NTT-Deskside Services-CampbellRiver-Staffed","Laptop","LENOVO THINKPAD T14 GEN6",""
"WT_GQ1SK44","HSS-8097869","GQ1SK44","VIHA-CRG-Campbell River General Hospital","Campbell River","","","","ISLHTRP20260302-114","04/30/2031","Operational","","","","","","NTT-Deskside Services-CampbellRiver-Staffed","Thin Client","DELL OPTIPLEX 3000 THIN CLIENT V3",""
"PC039994","HSS-8064860","2LV4XP3","VIHA-CRMC-Campbell River Marwalk Crescent-Main Building-1st Floor","Campbell River","Main Building","017 - Shop","1","VIHATRP20220711-061","11/30/2026","Operational","03/25/2024","","","General Rounding"," ","NTT-Deskside Services-CampbellRiver-Local","Desktop","Dell OPTIPLEX 7000 MICRO V1",""
"LD031241","HSS-8099485","SD006A6A","VIHA-CRMC-Campbell River Marwalk Crescent-Main Building-1st Floor","Campbell River","Main Building","018","1","ISLHTRP20260706-092","07/31/2030","Operational","","","","General Rounding","FMO","NTT-Deskside Services-CampbellRiver-Local","Laptop","LENOVO THINKPAD T14 GEN6 NT FPR 2x1",""
