"name","asset_tag","serial_number","location","location.city","u_building","u_room","u_floor","po_number","u_retired_date","u_last_rounded_date","u_device_rounding","u_department_location","location.u_deskside_assignment_group","model_id"
"LD059495","HSS-8096667","PF5RNY42","VIHA-MMHU-Margaret Moss Building","Duncan","Main","WFH","1","ISLHTRP20251201-026","","","Excluded","","NTT-Deskside Services-Cowichan-Local","LENOVO THINKPAD T14"
"104987","104987","63CAHHLB5J2","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Duncan","Main Building ","Lab (WAIT WHILE Board)","1","","07/20/2021","","Excluded","","NTT-Deskside Services-Cowichan-Staffed","DELL 0H0C1T"
"LD107207","HSS-1113691","CZQ3NN3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Duncan","6425 Norcross Road","202 -CDHRP","2","REQ2109650-RITM2228818-SCTASK3603490","","","","","NTT-Deskside Services-Cowichan-Local","Dell LATITUDE 7420 V3"
"LD107475","HSS-1043516","GR3Z4X3","VIHA-CDH-Cowichan District Hospital","Duncan","Main Building","2043 (2nd Floor Day Room)","2","REQ2140048-RITM2261270-SCTASK3670299","","","General Rounding","","NTT-Deskside Services-Cowichan-Staffed","Dell LATITUDE 7430 V1"
"LD080800","HSS-1043856","DJ9JCY3","VIHA-DMHC-Duncan Mental Health Centre","Duncan","","6","1","REQ1072253-RITM1128314-SCTASK1806400","","","Excluded","","NTT-Deskside Services-Cowichan-Local","DELL LATITUDE 7440 V2"
"3L49K44","HSS-1114032","3L49K44","VIHA-CDH-Cowichan District Hospital-The House-1st Floor","Duncan","Main Building","Emergency Medication Room","1","REQ2185240-RITM2309092-SCTASK3695485","","","","","NTT-Deskside Services-Cowichan-Staffed","DELL OPTIPLEX 3000 THIN CLIENT V3"
"LD064169","HSS-1043845","6H1PGY3","VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor","Salt Spring Island","Main Building","WFH","1","REQ1073954-RITM1130110-SCTASK1802155","","","Excluded","","NTT-Deskside Services-Cowichan-Remote","DELL LATITUDE 7440 V2"
"LD086138","HSS-1046842","5C1RCW3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Duncan","Main Building","WFH","1","REQ1333189-RITM1406026-SCTASK2254358","","","Excluded","","NTT-Deskside Services-Cowichan-Staffed","Dell LATITUDE 7440 V7"
"LD100978","HSS-1044335","1CGRGY3","VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1","Duncan","Main Building","WFH","G","REQ1123935-RITM1182964-SCTASK1892019","","11/14/2023","Excluded","","NTT-Deskside Services-Cowichan-Staffed","DELL LATITUDE 7440 V2"
"LD043460","HSS-8083176","1V6B9W3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Duncan","Main Building","WFH","1","VIHATRP20240205-075","","","Excluded","","NTT-Deskside Services-Cowichan-Staffed","DELL LATITUDE 7440 V5"
"LD091423","HSS-1048185","CY62WH3","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Ladysmith","Main Building","WFH G20","1","REQ1485423-RITM1567203-SCTASK2528696","","","Excluded","","NTT-Deskside Services-Cowichan-Local","Dell LATITUDE 7450 V4"
"LD090386","HSS-1045111","F0C99W3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Duncan","Main Building","WFH","1","REQ1197730-RITM1261446-SCTASK2023931","","","Excluded","","NTT-Deskside Services-Cowichan-Local","DELL LATITUDE 7440 V2"
"LD107133","HSS-8073106","9V42GK3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Duncan","Main Building","202 - CDHRP","2","REQ2109650-RITM2228817-SCTASK3585043","","","General Rounding","","NTT-Deskside Services-Cowichan-Local","Dell LATITUDE 7430 V1"
