City,Location,Building,Floor,Room,Department
Chemainus,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,1st Admin Trailer,1,'-,(TBD)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor,Annex Building,2,#203,ACC Clinical Ops
Ladysmith,VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor,B-Wing,3,(Old Library),ACSS
Lake Cowichan,VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor,C-Wing,4,(TBD),ACT Team
Mayne Island,VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1,D-Wing,G,.Reception,Activities
Mill Bay,VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor,Lancer Building,,.Reception - Back LH,Acute Care
Salt Spring Island,VIHA-CHCC-Chemainus Health Care Centre-Main Building-Basement 1,Main Building,,.Reception - Back RH,Admin Assistant Cowichan Valley
,VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor,Mobile MRI (Outside),,.Reception - Main LH,Admin Support
,VIHA-CPRC-Cairnsmore Place (CDH)-Main Building-1st Floor,Trailer,,.Reception - Main RH,Admin Supp-Prevention Svc
,VIHA-CPRF-Caulfield Place Residential Facility-Main Building-1st Floor,,,.Reception(TBD),Admin Team Lead
,VIHA-CQSS-Cowichan Quw'utsun Secondary School-Main Building-1st Floor,,,?,Administration
,VIHA-CUPCC-Cowichan Urgent Primary Care Centre-Main Building-1st Floor,,,? (Laundry),Admitting
,VIHA-CUPCC-Cowichan Urgent Primary Care Centre-Main Building-2nd Floor,,,? (Swing Office),Adult Day Program
,VIHA-DCDF-Duncan Community Dialysis Facility-Main Building-1st Floor,,,?? Not Found - Janet Preston,Adult Rehab Open Door
,VIHA-DGSHC-Duncan Government Street Health Centre-Main Building-1st Floor,,,?? WFH (Not found),Ambulatory Care Unit (ACU)
,VIHA-DJS-Duncan Jubilee Street-Main Building-1st Floor,,,??? (Shawna Cadieux),AMSU - Addiction Medicne & Substance Use
,VIHA-DMHC-Duncan Mental Health Centre-Main Building-1st Floor,,,002 (Support Services Manager),Anesthetic Clinic
,VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor,,,004 (Social Worker - Cesca Zamboni),Assisted Living Admin
,VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor,,,006 (Ultrasound Reception),Biomedical Engineering
,VIHA-DSS-Duncan Station Street-Main Building-2nd Floor,,,009 (Dietician),Breast Health
,VIHA-DWH-Duncan Waldon House-Main Building-1st Floor,,,01 (Clinic Room),Cancer Care
,VIHA-DWRC-Duncan Wellness and Recovery Centre-Main Building-1st Floor,,,02 (),Capital Projects
,VIHA-FHMH-Floral House Mental Health-Main Building-1st Floor,,,028 (FMO Workshop Area),Case Management
,VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor,,,029 (FMO Office M. Casey),Case Managers Ladysmith
,VIHA-LCHC-Ladysmith Community Health Centre-Main Building-Basement 1,,,03 (Clinic Room),CDH 2nd Floor Central
,VIHA-LCHU-Lake Cowichan Health Unit-Main Building-1st Floor,,,03 (Nicole),CDH 2nd Floor East
,VIHA-LMH-Lady Minto Hospital-Lionel Beach Annex-1st Floor,,,032 (Support Services),CDH 2nd Floor South
,VIHA-LMH-Lady Minto Hospital-Lionel Beach Annex-2nd Floor,,,038 (Patricia Byron),CDH 2nd Floor West
,VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor,,,039 (Pharmacy Area),CDH 3rd Floor East
,VIHA-LMH-Lady Minto Hospital-Main Building-Basement 1,,,04 (Diane),CDH 3rd Floor South
,VIHA-MBRC-Mill Bay Radiology Centre-Main Building-1st Floor,,,04 (Nicole Watters),CDH 3rd Floor West
,VIHA-MIHU-Mayne Island Health Unit-Main Building-1st Floor,,,045 (Pharmacy Office),CDH Implementation Admin
,VIHA-MMHU-Margaret Moss Building-Main Building-1st Floor,,,05 (Amber),CDH Perioperative.
,VIHA-MMHU-Margaret Moss Building-Main Building-Basement 1,,,05 (Shelley),CDH RP
,VIHA-SSCHC-Salt Spring Island Creek House-Main Building-1st Floor,,,06 (),CDH/Quality Medical Imaging
,VIHA-SSMHSU-Salt Spring Mental Health Substance Use Services-Main Building-1st Floor,,,06 (Hillary),CDHRP
,VIHA-WHMH-Wisteria House Mental Health-Main Building-1st Floor,,,07 (),CDHRP (Replacement Project)
,VIHA-WRMH-Wicks Road Mental Health-Main Building-1st Floor,,,07 (Shylo Miller  - L6),Charting
,VIHA-WRMH-Wicks Road Mental Health-Main Building-2nd Floor,,,08 (Dr. Nick Hargrove),CHCP - Cowichan Health & Care Plan
,,,,08 (Leah Soer),CHCP Hospital at Home
,,,,09 - Benjamin Rhames,Chemainus LTC
,,,,09 (),Child Youth & Family Services
,,,,09 (Lyndsey Shields),CHS
,,,,1,CHS - Community Health Services
,,,,10,CHS - Community Health Services (Steps)
,,,,10 (Meeting Room),CHS (Reception)
,,,,100,CHS Clinic
,,,,101 (#1 Charge Cabinet),CHS Nursing SSI
,,,,101 (#2 Charge Cabinet),CHS Respiratory Therapist
,,,,101 (#3 Charge Cabinet),Clinical Day Care
,,,,101 (#4 Charge Cabinet),Clinical Education
,,,,101 (#5 Charge Cabinet),Clinical Governance Admin
,,,,101 (#6 Charge Cabinet),Clinical Imp & Informatics
,,,,101 (#7??? Charge Cabinet),Clinical Informatics
,,,,101 (#8 Charge Cabinet),Clinical Nurse Educator
,,,,101 (Admitting),Clinical Practice Educator Wound
,,,,101 (Anesthesia Clinic through Rm 103),Clinical Service Delivery - Executive Director
,,,,101 (Medical Day Care),CLKS LearningDesign&Tech
,,,,101 (W41),Coding Team
,,,,101 (W42),Community Health Services
,,,,101 (W43),Community Health Services (Advanced Lower Limb Assessment)
,,,,101 (W44),Community Home Support
,,,,101 (W45),Community Home Support - Timekeeping
,,,,1014 (Echo Lab),Consultant Volunteer Engagement
,,,,1017 (OR Purchasing Office),COV IHealth Project Staff
,,,,1018 (Back Area),COVID PopHlth Asse Su&Epid
,,,,1018 (Health Records),COVID Saanich Gulf Islds Admin
,,,,1019,Cowich Vall MHSU Adm Supp
,,,,102,Cowichan Assist Living LPN
,,,,102 (Desk 1),Cowichan District Hospital.
,,,,102 (Desk 2),Cowichan Health & Care
,,,,102 (Health Records),Cowichan Health & Care Plan
,,,,102 (Pre-Admissions),Cowichan Hlth & Care Plan
,,,,102 (Ultrasound),Cowichan Home Support
,,,,1020,Cowichan HS Overnight Team
,,,,1020 (Health Records),Cowichan Lodge
,,,,1021 (Dictation Room),Cowichan Lodge Adult TMH
,,,,1022 (Booking Office),Cowichan Lodge Seniors TMH
,,,,1023A (Radiology),Cowichan Lodge-YSTAR
,,,,1023B (Radiology),Cowichan Valley Adm
,,,,1025 (Boardroom) Brenda Stager,Cowichan Valley Admin
,,,,1025 (EDU Floater),Cowichan Valley Home Support
,,,,1025 (Surgical Services),Cowichan Valley HS Admin
,,,,1026 (OR Booking),Cowichan Valley HS Nursing
,,,,103,Cowichan Valley MHSU
,,,,103 - in Storage (Telehealth),Cowichan Valley MHSU Community
,,,,103 (Ultrasound),Cowichan Valley PCN
,,,,1034 (Switchboard),CRM ASTAT
,,,,1038 (Staff Room),CRT
,,,,1039 (Reception),CSC HSCL Duncan
,,,,1039 (Rehab Area),CVH Inpatients - 3C & 3D
,,,,1039 (Side Office - Mobile),CYF CI Cowichan
,,,,104,Device Acquisition
,,,,104 (Chart Room),Diabetes & Geriatrics Clinic
,,,,104 (OR Booking),Diabetes & Nutrition Services
,,,,104 (Outpatient Laboratory),Dialysis
,,,,1045 (Accessions),Dietary
,,,,1045 (Back Office),DOT Nurse
,,,,1045 (Blood Bank),Duncan Community Hlth Services
,,,,1045 (Core Care),ECG
,,,,1045 (Hallway),Echocardiography
,,,,1045 (Hallway)(Collection Cart #1),Education and Practice Support
,,,,1045 (Hallway)(Collection Cart #2),Emergency
,,,,1045 (Hallway)(Collection Cart #3),End of Life
,,,,1045 (Hallway)(Collection Cart #4),Environmental Public Health
,,,,1045 (Hallway)(Collection Cart #5),Environmental Public Health Admin
,,,,1045 (Hallway)(Collection Cart #6),EWS Home Care
,,,,1045 (Hallway)(Collection Cart #7),Executive
,,,,1045 (Lab Core),Extended Care
,,,,1045 (Outside Core Care),Extended Care - Long Term Care
,,,,1046 (Reception),Facility Management and Operations (FMO)
,,,,105 (Consulting Services),Family Practice Clinic
,,,,105 (W1) Telehealth,Finance
