"name","asset_tag","serial_number","location","location.city","u_building","u_room","u_floor","po_number","u_scheduled_retirement","operational_status","u_last_rounded_date","comments","u_location_comments","u_device_rounding","u_department_location","location.u_deskside_assignment_group","u_category","model_id","short_description"
"LD071295","HSS-8098294","PF5WSAEZ","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Nanaimo","Main Building","","1","VIHATRP20260406-082","01/31/2030","Operational","","","","General Rounding","Physician Contracts","NTT-Deskside Services-Nanaimo-Staffed","Laptop","LENOVO THINKPAD T14 GEN6",""
"WT_860DNC07869","C006307","860DNC07869","VIHA-NRGH-Nanaimo Regional General Hospital","Nanaimo","Main","","Floor 2","","","Operational","","","","Excluded"," ","NTT-Deskside Services-Nanaimo-Staffed","Thin Client","Dell WYSE 5010 THIN CLIENT","WYSE D10D"
"LD066705","HSS-8092590","FG93WH3","VIHA-NYFAS-Nanaimo Discovery Youth & Family Substance Use Services-Main Building-2nd Floor","Nanaimo","Main Building","","2","VIHATRP20250317-003","12/31/2028","Operational","12/05/2025","","","General Rounding","MRC Youth Addictions Treatment","NTT-Deskside Services-Nanaimo-Local","Laptop","Dell LATITUDE 7450 V4","LENOVO THINKCENTRE M910q i5-7500T 2.5GHZ"
"LD1000389","HSS-8097151","PF5X9NNK","VIHA-MDO-Metral Drive Offices-Main Building-3rd Floor","Nanaimo","","","","ISLHTRP20260112-063","02/28/2030","Operational","","","","General Rounding","","NTT-Deskside Services-Nanaimo-Local","Laptop","LENOVO THINKPAD T14 GEN6",""
"C015282","C015282","T092TM92V0","VIHA-NRGH-Nanaimo Regional General Hospital","Nanaimo","","","","","","Operational","","","","Excluded","Clinical Informatics","NTT-Deskside Services-Nanaimo-Staffed","Laptop","APPLE MACBOOK PRO M1 14 INCH (2021)","Apple MacBook Pro 14-Inch 8-core CPU, 14-core GPU, 16-core Neural Engine 16GB unified memory 512GB SSD"
"LD090932","HSS-1047064","5GSQCW3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building","Nanaimo","","","3rd","REQ1350217-RITM1424100-SCTASK2295527","06/30/2028","Operational","","","","Excluded","","NTT-Deskside Services-Nanaimo-Staffed","Laptop","Dell LATITUDE 7440 V7",""
"LD060325","HSS-8097533","PF5WQD0A","VIHA-OHC-Oceanside Health Centre","Parksville","Main Building","","2","ISLHTRP20260209-075","04/30/2030","Operational","","","","General Rounding","Mental Health & Addiction Services","NTT-Deskside Services-Nanaimo-Local","Laptop","LENOVO THINKPAD T14 GEN6",""
"PC074184","HSS-1904939","B0NCQ54","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building","Nanaimo","","","","DMND0005167","03/31/2029","Operational","","","","General Rounding","","NTT-Deskside Services-Nanaimo-Local","Desktop","Dell OptiPlex Micro Plus 7020 V1",""
"LD044009","HSS-8089995","F7LHVW3","VIHA-OHC-Oceanside Health Centre-Main Building-2nd Floor","Parksville","Main Building","","2nd Floor","VIHATRP20240923-005","10/31/2028","Operational","","WFH","WFH","General Rounding","","NTT-Deskside Services-Nanaimo-Local","Laptop","Dell LATITUDE 7440 V7",""
"WT_CS4SK44","HSS-8098079","CS4SK44","VIHA-OHC-Oceanside Health Centre","Parksville","","","","ISLHTRP20260316-083","05/31/2031","Operational","","","","","","NTT-Deskside Services-Nanaimo-Local","Thin Client","DELL OPTIPLEX 3000 THIN CLIENT V3",""
