"name","asset_tag","serial_number","location","location.city","u_building","u_room","u_floor","po_number","u_scheduled_retirement","operational_status","u_last_rounded_date","comments","u_location_comments","u_device_rounding","u_department_location","location.u_deskside_assignment_group","u_category","model_id","short_description"
"WT63CAGZ0D5J2","C003178","63CAGZ0D5J2","VIHA-RHARF-Ryan Hill Apartments Residential Facility-Main Building-1st Floor","Courtenay","Main Building","Shared Room","2","","","Operational","","847BEBEDA693","","General Rounding","","NTT-Deskside Services-NorthIsland-Local","Thin Client","DELL WYSE 5060 THIN CLIENT","Dell Wyse 5060 Thin Client Wireless"
"WT_63CAGZ5G5J2","C004603","GZ5G5J2","VIHA-CVH-Comox Valley Hospital-Main Building-4th Floor","Courtenay","Main Building","CV4912","4","","09/30/2022","Operational","07/17/2026","","","General Rounding","Psychiatric Inpatient Unit","NTT-Deskside Services-NorthIsland-Staffed","Thin Client","DELL WYSE 5060 THIN CLIENT","Dell Wyse 5060 Thin Client Wireless"
"WT_63CAGZ6F5J2","C004604","GZ6F5J2","VIHA-CVH-Comox Valley Hospital-Main Building-3rd Floor","Courtenay","Main Building","CV3809","3","","","Operational","06/19/2026","","","General Rounding","General Medical / Surgical Inpatient Unit","NTT-Deskside Services-NorthIsland-Staffed","Thin Client","DELL WYSE 5060 THIN CLIENT","Dell Wyse 5060 Thin Client Wireless"
"WT_63CAGZ7D5J2","C004605","GZ7D5J2","VIHA-CVH-Comox Valley Hospital-Main Building-2nd Floor","Courtenay","Main Building","CV2826","2","","","Operational","07/11/2025","","","General Rounding","Surgical Services","NTT-Deskside Services-NorthIsland-Staffed","Thin Client","DELL WYSE 5060 THIN CLIENT","Dell Wyse 5060 Thin Client Wireless"
"WT_63CAGZ7G5J2","C004606","GZ7G5J2","VIHA-CVH-Comox Valley Hospital-Main Building-2nd Floor","Courtenay","Main Building","CV2840","2","","","Operational","07/11/2025","","","General Rounding","Surgical Services - PACU","NTT-Deskside Services-NorthIsland-Staffed","Thin Client","DELL WYSE 5060 THIN CLIENT","Dell Wyse 5060 Thin Client Wireless"
"WT_63CAGYWD5J2","C004607","GYWD5J2","VIHA-CVH-Comox Valley Hospital-Main Building-2nd Floor","Courtenay","Main Building","CV2831","2","","","Operational","07/11/2025","","","General Rounding","Surgical Services","NTT-Deskside Services-NorthIsland-Staffed","Thin Client","DELL WYSE 5060 THIN CLIENT",""
"WT_63CAGZNG5J2","C004608","GZNG5J2","VIHA-CVH-Comox Valley Hospital-Main Building-4th Floor","Courtenay","Main Building","CV4731","4","","","Operational","07/17/2026","","","General Rounding","Psychiatric Inpatient Unit","NTT-Deskside Services-NorthIsland-Staffed","Thin Client","DELL WYSE 5060 THIN CLIENT","Dell Wyse 5060 Thin Client Wireless"
"WT_63CAGZPD5J2","C004609","GZPD5J2","VIHA-CVH-Comox Valley Hospital-Main Building-2nd Floor","Courtenay","Main Building","CV2318","2","","","Operational","08/11/2026","","","General Rounding","Intensive Care/Telemetry Unit (ICU/TU)","NTT-Deskside Services-NorthIsland-Staffed","Thin Client","DELL WYSE 5060 THIN CLIENT","Dell Wyse 5060 Thin Client Wireless"
"WT_63CAGZKF5J2","C004610","GZKF5J2","VIHA-CVH-Comox Valley Hospital-Main Building-1st Floor","Courtenay","Main Building","CV1900","1","","","Operational","07/28/2026","","","General Rounding","Emergency Department","NTT-Deskside Services-NorthIsland-Staffed","Thin Client","DELL WYSE 5060 THIN CLIENT","Dell Wyse 5060 Thin Client Wireless"
"WT_63CAGYZC5J2","C004611","63CAGYZC5J2","VIHA-CVH-Comox Valley Hospital-Main Building-4th Floor","Courtenay","Main Building","CV4120","4","","","Operational","08/06/2026","","","General Rounding","Transitional Care Unit","NTT-Deskside Services-NorthIsland-Staffed","Thin Client","DELL WYSE 5060 THIN CLIENT","Dell Wyse 5060 Thin Client Wireless"
