"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","location.u_deskside_assignment_group"
"","HSS-1954604-M1","HSS-1954604-M1","","VIHA-CVH-Comox Valley Hospital-Main Building","","CV4121","4","","","NTT-Deskside Services-NorthIsland-Staffed"
"","HSS-1955085-M2","HSS-1955085-M2","","VIHA-SJC-St. Joseph's Campus","38 Wing","","2","","","NTT-Deskside Services-NorthIsland-Local"
"LD027172","LD101444","HSS-1046503","1095VZ3","VIHA-AMHO-Auxiliary Mental Health Office","Main Building","F8","1","REQ1292321-RITM1362753-SCTASK2185064","06/30/2032","NTT-Deskside Services-NorthIsland-Local"
"PC026225","PC026225","HSS-1038297","10PGRH3","VIHA-CVH-Comox Valley Hospital-Main Building-4th Floor","Main Building","CV4034.2","4","REQ0719819-RITM0756356-SCTASK1190951","06/30/2030","NTT-Deskside Services-NorthIsland-Staffed"
"PC026125","PC026125","HSS-8079545","10Q6PW3","VIHA-CVH-Comox Valley Hospital-Main Building-1st Floor","Main Building","CV1834","1","VIHATRP20230916-086","12/31/2031","NTT-Deskside Services-NorthIsland-Staffed"
"LD073838","LD073838","HSS-8068986","10S60N3","VIHA-CVH-Comox Valley Hospital-Main Building-0th Floor","Main Building","CV0620 - WFH Cameron Styles","0","VIHATRP20221121-013","02/28/2031","NTT-Deskside Services-NorthIsland-Staffed"
"LD072468","LD072468","HSS-1039821","114MVF3","VIHA-CVMHAS-Comox Valley Mental Health & Addiction Services-Main Building-1st Floor","Main Building","16","1","REQ0755020-RITM0793300-SCTASK1282457","11/30/2030","NTT-Deskside Services-NorthIsland-Local"
"LD028801","LD028801","HSS-8090407","1224TY3","VIHA-CIHN-Courtenay Integrated Health Networks","","5","","VIHATRP20241007-017","12/31/2032","NTT-Deskside Services-NorthIsland-Local"
"PC024345","PC024345","HSS-8089371","12B5VZ3","VIHA-CVH-Comox Valley Hospital-Main Building-1st Floor","Main Building","CV1431","1","VIHATRP20240819-047","10/31/2032","NTT-Deskside Services-NorthIsland-Staffed"
"LD046089","LD046089","HSS-8092089","12MNG14","VIHA-CVHCC-Comox Valley Home & Community Care-Main Building-1st Floor","Main Building","128","1st Floor","VIHATRP20250127","01/31/2033","NTT-Deskside Services-NorthIsland-Local"
"LD035793","LD035793","HSS-1045695","12Q6PW3","VIHA-CVH-Comox Valley Hospital-Main Building-1st Floor","Admin","","1","INC3019741","07/31/2026","NTT-Deskside Services-NorthIsland-Staffed"
"PC026067","PC026067","HSS-8066940","12TMVF3","VIHA-CVH-Comox Valley Hospital-Main Building-1st Floor","Main Building","CV1633","","VIHATRP20220926-034","12/31/2030","NTT-Deskside Services-NorthIsland-Staffed"
"LD056698","LD056698","HSS-8094586","1358W14","VIHA-SJC-St. Joseph's Campus-Main Building-2nd Floor","Main Building","201B","2","ISLHTRP20250721-068","08/31/2030","NTT-Deskside Services-NorthIsland-Local"
"PC026194","PC026194","HSS-8026209","13CKKF3","VIHA-CVH-Comox Valley Hospital-Main Building-2nd Floor","Main Building","CV2931","","VIHATRP20220110-039","04/30/2030","NTT-Deskside Services-NorthIsland-Staffed"
"PC026366","PC026366","HSS-8072603","13JSVP3","VIHA-CVH-Comox Valley Hospital-Main Building-1st Floor","Main Building","CV1727","","VIHATRP20230227-005","05/31/2031","NTT-Deskside Services-NorthIsland-Staffed"
"PC024428","PC024428","HSS-8067005","13S60N3","VIHA-CVH-Comox Valley Hospital-Main Building-2nd Floor","Main Building","CV2820 (724)","","VIHATRP20220926-082","12/31/2030","NTT-Deskside Services-NorthIsland-Staffed"
