"name","asset_tag","serial_number","location","location.city","u_building","u_room","u_floor","po_number","u_scheduled_retirement","operational_status","u_last_rounded_date","comments","u_location_comments","u_device_rounding","u_department_location","location.u_deskside_assignment_group","u_category","model_id","short_description"
"LD064872","HSS-1044721","77Q5SV3","VIHA-KYU-Kyuquot Health Centre","Kyuquot","","","","REQ1149419-RITM1210189-SCTASK1938738","12/31/2027","Operational","","","","Excluded","","NTT-Deskside Services-PortHardy-Remote","Laptop","DELL LATITUDE 7440 V2",""
"LD057657","HSS-8098583","PF621CLW","VIHA-PAH-Port Alice Health Center-Main Building-1st Floor","Port Alice","Main Building","#4-This Laptop goes home with DR","1","ISLHTRP20260504-031","05/31/2030","Operational","07/08/2026","","","Excluded","ACV Med Staff Cred and Priv","NTT-Deskside Services-PortHardy-Remote","Laptop","LENOVO THINKPAD T14 GEN6 NT FPR 2x1",""
"LD022344","HSS-8074227","FW9TQV3","VIHA-PHMHAS-Port Hardy Mental Health & Addiction Services-Main Building-1st Floor","Port Hardy","Main Building","10","1","VIHATRP20230509-042","07/31/2026","Operational","03/19/2026","","","General Rounding","Clinical Svc Mt Waddington","NTT-Deskside Services-PortHardy-Local","Laptop","Dell LATITUDE 7430 V1","Dell LATITUDE 7430 V1"
"PC057606","HSS-8098543","MZ03FL2G","VIHA-CICHC-Cormorant Island Community Health Centre-Main Building-1st Floor","Alert Bay","Main Building","106-Trauma","1","ISLHTRP20260504-037","05/31/2030","Operational","08/12/2026","","","General Rounding","Emergency","NTT-Deskside Services-PortHardy-Remote","Desktop","LENOVO M90q Gen 5 Desktop 512HD",""
"LD080692","HSS-8098525","PF620LCE","VIHA-PHPCC-Port Hardy Primary Care Centre-Main Building-1st Floor","Port Hardy","Main Building","2","1","ISLHTRP20260427-030","05/31/2030","Operational","","","","Excluded","CSN PH Primary Care Ctr","NTT-Deskside Services-PortHardy-Local","Laptop","LENOVO THINKPAD T14 GEN6 NT FPR 2x1","LENOVO THINKPAD T14 GEN6 NT FPR 2x1"
"LD044184","HSS-8087959","H9MQCW3","VIHA-PHFP-Port Hardy Family Practice-Main Building-1st Floor","Port Hardy","Main Building","208","2","VIHATRP20240624-038","07/31/2028","Operational","02/20/2026","","","General Rounding","CI/NI CYMH & Substance Use","NTT-Deskside Services-PortHardy-Local","Laptop","Dell LATITUDE 7440 V7",""
"LD064055","HSS-1043664","JM205X3","VIHA-PHFP-Port Hardy Family Practice-Main Building-1st Floor","Port Hardy","Main Building","208","2","REQ1050365-RITM1105294-SCTASK1763953","09/30/2027","Operational","04/02/2024","","Discovery port hardy","General Rounding","CCD Admin Support-Comox","NTT-Deskside Services-PortHardy-Local","Laptop","Dell LATITUDE 7430 V1",""
"PC080097","HSS-1041328","BKR4XP3","VIHA-PHFP-Port Hardy Family Practice-Main Building-1st Floor","Port Hardy","Main building","210","2","REQ0754160-RITM0792371-SCTASK1422504","01/31/2027","Operational","03/04/2024","","","General Rounding"," ","NTT-Deskside Services-PortHardy-Local","Desktop","Dell OPTIPLEX 7000 MICRO V1",""
"LD035967","HSS-8098520","PF621MK2","VIHA-PHHC-Port Hardy Health Centre-Main Building-1st Floor","Port Hardy","Main","2nd office to right of entrance.","1","ISLHTRP20260427-025","05/31/2030","Operational","05/21/2026","","","General Rounding","HN PH Public Health Nursing","NTT-Deskside Services-PortHardy-Local","Laptop","LENOVO THINKPAD T14 GEN6 NT FPR 2x1",""
"LD110008","HSS-1042074","8S04FK3","VIHA-PHH-Port Hardy Hospital-Main Building-1st Floor","Port Hardy","Eagle Ridge Manor","415-Yellow Room","1","REQ0886566-RITM0931928-SCTASK1493987","05/31/2027","Operational","08/13/2026","","","General Rounding","Administration","NTT-Deskside Services-PortHardy-Staffed","Laptop","Dell LATITUDE 7430 V1",""
