"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","location.u_deskside_assignment_group","model_id"
"LD035992","LD035992","HSS-1033055","10GJRH3","VIHA-PHFP-Port Hardy Family Practice-Main Building-1st Floor","Main Building","","2","REQ0501085-RITM0525671-SCTASK0835183","05/31/2030","NTT-Deskside Services-PortHardy-Local","Dell MONITOR P2421D"
"PC047071","PC047071","HSS-8058426","12KKRH3","VIHA-PMH-Port McNeill Hospital-Main Building-1st Floor","Main Building","Xray (Beside Front Desk)","1","VIHATRP20220502-010","07/31/2030","NTT-Deskside Services-PortHardy-Remote","Dell MONITOR P2421D"
"LD035968","LD035968","HSS-1043226","12PPQT3","VIHA-PHHC-Port Hardy Health Centre-Main Building-1st Floor","Main Building","PHH IM/IT office","1","REQ1006949-RITM1059233-SCTASK1696769","09/30/2031","NTT-Deskside Services-PortHardy-Local","Dell MONITOR P2423D"
"PC035258","PC035258","HSS-8058356","16KHRH3","VIHA-PHH-Port Hardy Hospital-Main Building-1st Floor","Main Building","Clinical Coordinator (Beside Door)","","VIHATRP20220425-025","07/31/2030","NTT-Deskside Services-PortHardy-Staffed","Dell MONITOR P2421D"
"LD062715","LD062715","HSS-8058425","16SJRH3","VIHA-PMH-Port McNeill Hospital-Main Building-1st Floor","Admin Trailer","Clinician's office","1","VIHATRP20220502-009","07/31/2030","NTT-Deskside Services-PortHardy-Remote","Dell MONITOR P2421D"
"LD090373","LD090373","HSS-1045194","17MJTY3","VIHA-PHHC-Port Hardy Health Centre-Main Building-1st Floor","Main Building","Office beside rear door-no number","1","REQ1201769-RITM1265729-SCTASK2023437","03/31/2032","NTT-Deskside Services-PortHardy-Local","Dell MONITOR P2423D"
"LD072643","LD072643","HSS-1027131","17WHL93","VIHA-PMAPCC-Port McNeill A'ekakila'as Primary Care Centre-Main Building-1st Floor","Main Building","Admin-Jodi Wright","1","REQ0257049-RITM0269248-SCTASK0409266","07/31/2029","NTT-Deskside Services-PortHardy-Remote","Dell MONITOR P2421D"
"","PC035174","HSS-8058438","1CPKRH3","VIHA-CICHC-Cormorant Island Community Health Centre-Main Building-1st Floor","Main Building","404 - Doctors Dictation Room","","VIHATRP20220502-018","07/31/2030","NTT-Deskside Services-PortHardy-Remote","Dell MONITOR P2421D"
"PC021648","PC021648","HSS-1043225","1D8PQT3","VIHA-PHPCC-Port Hardy Primary Care Centre-Main Building-1st Floor","Main Building","Bullpen (Against backwall - 2nd from breakroom)","1","REQ1006949-RITM1059233-SCTASK1696769","09/30/2031","NTT-Deskside Services-PortHardy-Local","Dell MONITOR P2423D"
"PC035267","PC035267","HSS-8074314","1DQTVP3","VIHA-PMAPCC-Port McNeill A'ekakila'as Primary Care Centre-Main Building-1st Floor","Main Building","Room 6","1","VIHATRP20230509-059","08/31/2031","NTT-Deskside Services-PortHardy-Remote","Dell MONITOR P2423D"
