"SlNo","Asset Tag"
"4368","HSS-8027545"
"249598","HSS-8091864"
"83573","HSS-8074884"
"288497","HSS-8099467"
"133473","HSS-8025746"
"288368","HSS-8099479"
"249806","HSS-8091367"
"35164","HSS-8027744"
"288396","HSS-8099481"
"235169","HSS-8093774"
"53938","C003147"
"6415","C003180"
"240336","HSS-8085582"
"256420","HSS-8093007"
"248202","HSS-8090195"
"240333","HSS-8085566"
"270902","HSS-8097286"
"236489","HSS-8087484"
"64374","HSS-8064831"
"117424","HSS-8066620"
"235405","HSS-8090192"
"235396","HSS-8090181"
"238061","HSS-8093046"
"45504","HSS-8079336"
"266161","HSS-1110586"
"253909","HSS-8092078"
"44819","HSS-1964322"
"106918","HSS-8025031"
"240331","HSS-8085558"
"285225","HSS-8097843"
"249826","HSS-8091374"
"270710","HSS-8096973"
"64630","HSS-1990596"
"288108","HSS-8099478"
"270941","HSS-8097275"
"267115","HSS-8096975"
"248219","HSS-8090200"
"249565","HSS-8091373"
"22133","HSS-8074726"
"254083","HSS-8092076"
"230885","HSS-8085603"
"270570","HSS-8096440"
"270824","HSS-8096977"
"270805","HSS-8096438"
"247755","HSS-8091050"
"178056","HSS-8018644"
"64665","HSS-8068898"
"191911","HSS-8027531"
"290085","HSS-8098643"
"9507","HSS-8064833"
"253918","HSS-8092081"
"88809","HSS-8064834"
"256357","HSS-8093775"
"13565","HSS-8064832"
"178062","HSS-1040933"
"246025","HSS-8089571"
"282247","HSS-8097530"
"234017","HSS-8086202"
"285349","HSS-8098477"
"278409","HSS-8096624"
"122674","HSS-8078456"
"257876","HSS-8092778"
"15459","HSS-8074891"
"247797","HSS-8090746"
"236882","HSS-8087506"
"92803","HSS-8059185"
"131502","C003278"
"285214","HSS-8097844"
"288121","HSS-8100319"
"311891","HSS-8099462"
"230661","HSS-8085612"
"257630","HSS-8093777"
"230744","HSS-8085618"
"283102","HSS-8099498"
"271050","HSS-8097851"
"247099","HSS-8090752"
"290041","HSS-8098653"
"288422","HSS-8100311"
"288392","HSS-8100316"
"37152","HSS-8068905"
"261758","HSS-8096138"
"270765","HSS-8097303"
"39112","HSS-8059181"
"182434","C003153"
"249543","HSS-8090781"
"96847","HSS-8059162"
"288194","HSS-8100315"
"247027","HSS-8090757"
"288493","HSS-8100307"
"230656","HSS-8085594"
"154771","C003154"
"267214","HSS-8096145"
"145267","HSS-8026134"
"288412","HSS-8100310"
"55772","HSS-8074889"
"115579","C003152"
"237599","HSS-8087491"
"285341","HSS-8097845"
"192271","C003158"
"288136","HSS-8099209"
"249835","HSS-8091382"
"281866","HSS-8097848"
"45294","HSS-8059165"
"62836","HSS-8059190"
"261776","HSS-8096146"
"256417","HSS-1110710"
"84938","C003155"
"190669","HSS-8069796"
"270728","HSS-8098137"
"270738","HSS-8098136"
"187155","HSS-8059145"
"41142","HSS-8059184"
"142700","C003156"
"273484","HSS-8095366"
"43474","HSS-8074252"
"28015","HSS-8074251"
"249545","HSS-8091051"
"285138","HSS-8097458"
"120618","HSS-8074768"
"2061","HSS-8074877"
"288174","HSS-8099460"
"249842","HSS-8091365"
"230960","HSS-8085567"
"248211","HSS-8090187"
"247814","HSS-8091047"
"248089","HSS-8090186"
"188212","HSS-8072899"
"231094","HSS-8085587"
"235659","HSS-8087482"
"231089","HSS-8085595"
"86423","HSS-8064817"
"144602","HSS-8068900"
"288094","HSS-8099466"
"248087","HSS-8090179"
"231028","HSS-8085572"
"233274","HSS-8094103"
"288245","HSS-8100128"
"288210","HSS-8100126"
"288252","HSS-8099167"
"270666","HSS-8098479"
"272646","HSS-8095796"
"45660","HSS-8068772"
