"name","asset_tag","serial_number","location","location.city","u_building","u_room","u_floor","po_number","u_retired_date","u_last_rounded_date","u_device_rounding","u_department_location","location.u_deskside_assignment_group","model_id"
"WT616AGLBMV72","103009","616AGLBMV72","VIHA-ABER-Aberdeen Hospital-Main Building-1st Floor","Victoria","Main","C116","1","","","","General Rounding","","NTT-Deskside Services-RoyalJubilee-Local","Dell WYSE 5010 THIN CLIENT"
"WT616AHMGHW72","103010","616AHMGHW72","VIHA-ABER-Aberdeen Hospital-Main Building-1st Floor","Victoria","Main","C116","1","","","","General Rounding","","NTT-Deskside Services-RoyalJubilee-Local","Dell WYSE 5010 THIN CLIENT"
"WT616A5YFHV72","103011","616A5YFHV72","VIHA-ABER-Aberdeen Hospital","Victoria","Main","","1","","","","General Rounding","","NTT-Deskside Services-RoyalJubilee-Local","Dell WYSE 5010 THIN CLIENT"
"WT616AHLDJW72","103459","616AHLDJW72","VIHA-RJH-Royal Jubilee Hospital-Eric Martin Pavilion-6th Floor","Victoria","EMP","Patient Thin Client Room","6","","","07/13/2023","Excluded","Mental Health","NTT-Deskside Services-RoyalJubilee-Staffed","Dell WYSE 5010 THIN CLIENT"
"105010","105010","63CAHHGB5J2","VIHA-SPH-Saanich Peninsula Hospital","Saanichton","Main","Outpatient Lab Waiting area","1","","","","","","NTT-Deskside Services-RoyalJubilee-Local","DELL 0H0C1T"
"WT_63CAHGR85J2","105018","HGR85J2","VIHA-SPH-Saanich Peninsula Hospital-Main Building-1st Floor","Saanichton","SPH","Nursing Station","1","","","10/21/2025","General Rounding","extended care unit","NTT-Deskside Services-RoyalJubilee-Local","DELL WYSE 5060 THIN CLIENT"
"WT_63CAHGLB5J2","105022","HGLB5J2","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-6th Floor","Victoria","PCC","S603","6","","","09/19/2023","Excluded","PCC 6S Collab","NTT-Deskside Services-RoyalJubilee-Staffed","DELL WYSE 5060 THIN CLIENT"
"105025","105025","63CAHH395J2","VIHA-SPH-Saanich Peninsula Hospital-Main Building-1st Floor","Saanichton","","","1","","07/20/2021","","","OR","NTT-Deskside Services-RoyalJubilee-Local","DELL 0H0C1T"
"WT_63CAHGQ95J2","105027","HGQ95J2","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-6th Floor","Victoria","PCC","S603","6","","","09/19/2023","Excluded","PCC 6S Collab","NTT-Deskside Services-RoyalJubilee-Staffed","DELL WYSE 5060 THIN CLIENT"
"WT_63CAHHSB5J2","105028","63CAHHSB5J2","VIHA-SPH-Saanich Peninsula Hospital-Main Building-1st Floor","Saanichton","SPH","Nursing Station","1","","","10/21/2025","General Rounding","extended care unit","NTT-Deskside Services-RoyalJubilee-Local","DELL WYSE 5060 THIN CLIENT"
