"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","po_number","u_scheduled_retirement","model_id"
"","C011102","C011102","","VIHA-NRGH-Nanaimo Regional General Hospital","Main","","","","ZEBRA BARCODE SCANNER DS8108-HC"
"","C010509","","","","","","","",""
"","C011006","C011006","17096010501189","VIHA-VGH-Victoria General Hospital","D&T","","","","ZEBRA BARCODE SCANNER DS4308-HC"
"","C009503","C009503","19303010553103","VIHA-RJH-Royal Jubilee Hospital","","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C009511","","19303010559189","VIHA-SPH-Saanich Peninsula Hospital-Main Building","SPH-Main","","","",""
"","C009518","","19303010559190","VIHA-SPH-Saanich Peninsula Hospital-Main Building","Main","","","",""
"","C009525","","19303010559215","VIHA-SPH-Saanich Peninsula Hospital-Main Building","Main","","","",""
"","C013585","C013585","19303010559227","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-2nd Floor","Main Building","","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C009523","","19303010559228","VIHA-SPH-Saanich Peninsula Hospital-Main Building","Main","","","",""
"","C009516","","19304010559159","VIHA-SPH-Saanich Peninsula Hospital-Main Building","Main","","","",""
"","C009510","","19304010559197","VIHA-SPH-Saanich Peninsula Hospital-Main Building","SPH-Main","","","",""
"","C009509","","19304010559307","VIHA-SPH-Saanich Peninsula Hospital-Main Building","SPH-Main","","","",""
"","C009513","","19304010559324","VIHA-SPH-Saanich Peninsula Hospital-Main Building","Main","","","",""
"","C009519","","19304010559361","VIHA-SPH-Saanich Peninsula Hospital-Main Building","Main","","","",""
"","C009517","","19304010559408","VIHA-SPH-Saanich Peninsula Hospital-Main Building","Main","","","",""
"","C009515","","19304010561257","VIHA-SPH-Saanich Peninsula Hospital-Main Building","Main","","","",""
"AO005045-CRT","AO005045-SCN","C009453","19304010561266","VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor","Main Building","4S (Hallway)","","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005610-CRT","AO005610-SCN","1978917-0069-SCN","1978917-0069-SCN","VIHA-GVHF-Victoria Hospitals Foundation","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005671-CRT","AO005671-SCN","1978917-0071-SCN","1978917-0071-SCN","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005570-CRT","AO005570-SCN","1978917-0072-SCN","1978917-0072-SCN","VIHA-RJH-Royal Jubilee Hospital","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005653-CRT","AO005653-SCN","1978917-0077-SCN","1978917-0077-SCN","VIHA-GVHF-Victoria Hospitals Foundation","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005576-CRT","AO005576-SCN","1978917-0080-SCN","1978917-0080-SCN","VIHA-RJH-Royal Jubilee Hospital","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005571-CRT","AO005571-SCN","1979619-0007-SCN","1979619-0007-SCN","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-2nd Floor","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005552-CRT","AO005552-SCN","1979619-0009-SCN","1979619-0009-SCN","VIHA-GVHF-Victoria Hospitals Foundation","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005616-CRT","AO005616-SCN","1979619-0010-SCN","1979619-0010-SCN","VIHA-GVHF-Victoria Hospitals Foundation","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005585-CRT","AO005585-SCN","1991052-0011-SCN","1991052-0011-SCN","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
