"name","asset_tag","serial_number","location","location.city","u_building","u_room","u_floor","po_number","u_retired_date","u_last_rounded_date","u_device_rounding","u_department_location","location.u_deskside_assignment_group","model_id"
"LD067932","HSS-1047044","HTFQCW3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","Victoria","South","S215","2","REQ1357975-RITM1432322-SCTASK2294307","","","Excluded","","NTT-Deskside Services-VictoriaGen-Staffed","Dell LATITUDE 7440 V7"
"LD064993","HSS-1044881","H1K2QV3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","Victoria","","","","REQ1164060-RITM1225700-SCTASK1962508","","01/28/2024","Excluded","","NTT-Deskside Services-VictoriaGen-Staffed","DELL LATITUDE 7440 V2"
"LD050829","HSS-8096326","PF5STVDE","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","Victoria","Main Building","WFH","2nd Floor","ISLHTRP20251027-029","","","Excluded","","NTT-Deskside Services-VictoriaGen-Staffed","LENOVO THINKPAD T14"
"WT_616A73VVV72","105317","616A73VVV72","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor","Victoria","Main Building","n/a","3","","","","General Rounding","","NTT-Deskside Services-VictoriaGen-Staffed","Dell WYSE 5010 THIN CLIENT"
"LD061001","HSS-1034796","8SN63J3","VIHA-VGH-Victoria General Hospital-Main Building-5th Floor","Victoria","South tower","S519","5","REQ0578185-RITM0607244-SCTASK0962052","","","Excluded","","NTT-Deskside Services-VictoriaGen-Staffed","Dell LATITUDE 7420 V3"
"LD041601","HSS-8085266","CYRXCW3","VIHA-WSC-West Shore Centre-Main Building-1st Floor","Victoria","","WFH","","VIHATRP20240408-022","","","Excluded","","NTT-Deskside Services-VictoriaGen-Local","Dell LATITUDE 7440 V7"
"LD020299","HSS-8061238","7220MN3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","Victoria","Main Building","N254","2","VIHATRP20220808-250","","","Excluded","","NTT-Deskside Services-VictoriaGen-Staffed","Dell LATITUDE 7420 V3"
"LD067306","HSS-1045136","DFS69W3","VIHA-EHU-Esquimalt Health Unit","Victoria","530 Fraser Street","14","","REQ1201511-RITM1265418-SCTASK2032022","","","Excluded","","NTT-Deskside Services-VictoriaGen-Local","DELL LATITUDE 7440 V2"
"C004903","C004903","H14030395","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","Victoria","Main building","TBA","2","","","01/21/2025","Excluded","","NTT-Deskside Services-VictoriaGen-Staffed","ONYX ZEUS 197ST"
"C004897","C004897","H14030350","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","Victoria","Main building","TBA","2","","","01/21/2025","Excluded","","NTT-Deskside Services-VictoriaGen-Staffed","ONYX ZEUS 197ST"
"PC031696","HSS-8061245","9KF5XP3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","Victoria","Main Building","N241A","2","VIHATRP20220808-244","","","Excluded","","NTT-Deskside Services-VictoriaGen-Staffed","Dell OPTIPLEX 7000 MICRO V1"
