"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","location.u_deskside_assignment_group"
"PC037911","PC037911","","010NTNHK4263","VIHA-VGH-Victoria General Hospital-Main Building-7th Floor","North tower","N725","7","","","NTT-Deskside Services-VictoriaGen-Staffed"
"PC037911","PC037911","","012NTNHB5999","VIHA-VGH-Victoria General Hospital-Main Building-7th Floor","North tower","N725","7","","","NTT-Deskside Services-VictoriaGen-Staffed"
"LD032750","LD032750","HSS-1034216","109JRH3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","North tower","N222 C","2","REQ0562518-RITM0590665-SCTASK0926369","06/30/2030","NTT-Deskside Services-VictoriaGen-Staffed"
"LD066405","LD066405","HSS-8079716","10D6PW3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","South tower","S274","2","VIHATRP20231023-046","12/31/2031","NTT-Deskside Services-VictoriaGen-Staffed"
"LD044050","LD044050","HSS-8082544","10HKTY3","VIHA-VGH-Victoria General Hospital-Main Building-5th Floor","North tower","N510","5","VIHATRP20240115-108","03/31/2032","NTT-Deskside Services-VictoriaGen-Staffed"
"PC043672","PC043672","HSS-8067849","10K60N3","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor","Main Building","3742","","VIHATRP20221017-114","01/31/2031","NTT-Deskside Services-VictoriaGen-Staffed"
"PC034578","PC034578","HSS-8087855","10L5VZ3","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor","Main Building","3111","3","VIHATRP20240617-048","08/31/2032","NTT-Deskside Services-VictoriaGen-Staffed"
"PC037056","PC037056","HSS-8061826","10RLVF3","VIHA-VGH-Victoria General Hospital-Main Building-1st Floor","Main Building","1726","","VIHATRP20220815-155","10/31/2030","NTT-Deskside Services-VictoriaGen-Staffed"
"PC039732","PC039732","HSS-8069693","11S60N3","VIHA-VGH-Victoria General Hospital-Main Building-1st Floor","Main Building","1713","1","VIHATRP20221212-054","01/31/2031","NTT-Deskside Services-VictoriaGen-Staffed"
"PC107544","PC107544","HSS-1029715","12DJGC3","VIHA-WUPCC-Westshore Urgent Primary Care Centre-Main Building-1st Floor","Main building","exam room 11","1","REQ0323593-RITM0338819-SCTASK0519359","10/31/2029","NTT-Deskside Services-VictoriaGen-Local"
"LD066572","LD066572","HSS-8085366","12K5VZ3","VIHA-CASA-Sooke Health Unit Public Health Nursing-Main Building-1st Floor","Main Building","35","1","VIHATRP20240408-007","06/30/2032","NTT-Deskside Services-VictoriaGen-Local"
"PC047308","PC047308","HSS-8086068","1356VZ3","VIHA-VGH-Victoria General Hospital-Main Building-1st Floor","Main Building","unknown","1","VIHATRP20240422-076","06/30/2032","NTT-Deskside Services-VictoriaGen-Staffed"
"PC040855","PC040855","HSS-8080869","13HLTY3","VIHA-ECV-Eagle Creek Village-Building 7-3rd Floor","Main Building","320 Pre-admissions","3","VIHATRP20231127-004","01/31/2032","NTT-Deskside Services-VictoriaGen-Local"
"PC040663","PC040663","HSS-8074664","13QTVP3","VIHA-VGH-Victoria General Hospital-Main Building-4th Floor","South tower","S450 (Pod 1 Side A)","4","VIHATRP20230522-049","08/31/2031","NTT-Deskside Services-VictoriaGen-Staffed"
"LD057243","LD057243","HSS-1028616","13XGGC3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","North tower","N216 C","2","REQ0282632-RITM0295945-SCTASK0489603","10/31/2029","NTT-Deskside Services-VictoriaGen-Staffed"
"PC052257","PC052257","","1479554870","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","South tower","Server room 2009","","","","NTT-Deskside Services-VictoriaGen-Staffed"
"PC052255","PC052255","HSS-8079687","14B6PW3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","Main building","2500","2","VIHATRP20231023-025","12/31/2031","NTT-Deskside Services-VictoriaGen-Staffed"
"PC051214","PC051214","HSS-8086073","14F4VZ3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","Main Building","2543","2","VIHATRP20240422-079","06/30/2032","NTT-Deskside Services-VictoriaGen-Staffed"
"LD063366","LD063366","HSS-1042666","14LTVP3","VIHA-VGH-Victoria General Hospital-Main Building-1st Floor","Memorial Pavillion","","3","REQ0936314-RITM0984533-SCTASK1583073","08/31/2031","NTT-Deskside Services-VictoriaGen-Staffed"
