"name","asset_tag","serial_number","location","location.city","u_building","u_room","u_floor","po_number","u_scheduled_retirement","operational_status","u_last_rounded_date","comments","u_location_comments","u_device_rounding","u_department_location","location.u_deskside_assignment_group","u_category","model_id","short_description"
"103420","103420","63CAHHR95J2","VIHA-WCGH-West Coast General Hospital-Main Building","Port Alberni","Main","Laboratory - outside","2","","","Operational","11/25/2024","Located at the WCGH Laboratory - used for the patient queue monitor outside the door to this office.","Used for patient queue monitor display outside lab.","Excluded","Laboratory","NTT-Deskside Services-WestCoast-Staffed","Thin Client","DELL 0H0C1T","Dell Wireless Thin Client  - WCGH WAITWHILE"
"2BUN348B1612109","C003776","2BUN348B1612109","VIHA-WCGH-West Coast General Hospital-Main Building","Port Alberni","Main Building","","","","","Operational","","","","Excluded"," ","NTT-Deskside Services-WestCoast-Staffed","All-in-One","DT Research DT592BU",""
"AO000115","HSS-8091044","C24529M093","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","ER Roundabout","2","VIHATRP20241118-062","10/31/2028","Operational","07/02/2026","","","Mobile Cart","WCG Nursing/OB/Psych/Rural Srg","NTT-Deskside Services-WestCoast-Staffed","All-in-One","Tangent MEDIX 22B V12","Tangent T22B V3 AIO"
"AO001609","HSS-8095818","C24102M022","VIHA-PAHCCS-Port Alberni Home & Community Care Services-Main Building-1st Floor","Port Alberni","Main Building","14","1","ISLHTRP20250922-026","05/31/2028","Operational","07/16/2026","","","Mobile Cart","Social Work West","NTT-Deskside Services-WestCoast-Local","All-in-One","TANGENT MEDIX 22B V9",""
"AO005447","HSS-8096245","C25122M025","VIHA-TGH-Tofino General Hospital","Tofino","Specialists Sea Can","1","2","ISLHTRP20251020-018","05/31/2029","Operational","02/26/2026","Permanentaly swapped during INC4670463","Specialist Sea Can - Outside TGH Front door **To your right if facing building**","Mobile Cart","Admin","NTT-Deskside Services-WestCoast-Remote","All-in-One","TANGENT MEDIX 22B V20",""
"AO400001","HSS-8099163","C25318M209","VIHA-BAM-Bamfield Health Centre-Main Building-1st Floor","Bamfield","Main Building","Exam Room","1","ISLHTRP20260615-065","01/31/2030","Operational","07/10/2026","","","Mobile Cart","Nursing","NTT-Deskside Services-WestCoast-Remote","All-in-One","TANGENT MEDIX 22B V20",""
"AO400002","HSS-8099162","C25318M185","VIHA-BAM-Bamfield Health Centre-Main Building-1st Floor","Bamfield","Main Building","Telehealth","1","ISLHTRP20260615-064","01/31/2030","Operational","07/10/2026","","","Mobile Cart","Nursing","NTT-Deskside Services-WestCoast-Remote","All-in-One","TANGENT MEDIX 22B V20",""
"AO400097","HSS-8098481","C25318M198","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","Med Surg - Wing B","2","ISLHTRP20260420-022","01/31/2030","Operational","07/02/2026","","","Mobile Cart","Nursing","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT MEDIX 22B V20",""
"AO400115","HSS-8098482","C25318M190","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","Med Surg Wing B","2","ISLHTRP20260420-023","01/31/2030","Operational","08/12/2026","","","Mobile Cart","Nursing","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT MEDIX 22B V20",""
"AO400146","HSS-8091228","C24529M023","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","WC2140","2","VIHATRP20241118-063","10/31/2028","Operational","08/21/2026","","PACU","Mobile Cart","Operating Room - Nursing","NTT-Deskside Services-WestCoast-Staffed","All-in-One","Tangent MEDIX 22B V12","Tangent T22B V3 AIO"
