"City","Location","Building","Floor","Room","Department"
"Campbell River","VIHA-CIHU-Cortes Island Health Unit-Main Building-1st Floor","220 Dogwood Street","0","(Not Found)","'-"
"Gold River","VIHA-CRDS-Campbell River Dogwood Street","Campbell River Hospital","1","_Campbell River CRG Mtg 4 (4)","3A/B"
"Mansons Landing","VIHA-CRDS-Campbell River Dogwood Street-Main Building-1st Floor","Corporate","10th Floor","0","3A/B - Pharmacy"
"Quathiaski Cove","VIHA-CRED-Campbell River Eagle Drive-Main Building-2nd Floor","CR Dogwood","1st","017 - Shop","3C Surgical"
"Tahsis","VIHA-CRG-Campbell River General Hospital","CRG","1st Floor","023","3C/D"
"Zeballos","VIHA-CRG-Campbell River General Hospital-Corporate-Whitehouse","CRHCC","1st floor","024","3D Medicine"
"","VIHA-CRG-Campbell River General Hospital-Corporate-Whitehouse-1st Floor","CRMHAS","2","0601","4 Psychiatric Inpat/PICU"
"","VIHA-CRG-Campbell River General Hospital-Corporate-Whitehouse-2nd Floor","Diagnostic & Treatment","2nd","1","Aboriginal Health"
"","VIHA-CRG-Campbell River General Hospital-Main Building","Gold River Health Centre","2nd Floor","1 - key lock","ACN NVI Reg Admin"
"","VIHA-CRG-Campbell River General Hospital-Main Building-1st Floor","Health unit","2st Floor","10","Admin"
"","VIHA-CRG-Campbell River General Hospital-Main Building-2nd Floor","M","3","100","Admin Area, desk 3"
"","VIHA-CRG-Campbell River General Hospital-Main Building-3rd Floor","Main","3rd Floor","101","Administration"
"","VIHA-CRG-Campbell River General Hospital-Main Building-4th Floor","mAIN","8th Floor","101 - WFH Angelica Ubando","Admitting"
"","VIHA-CRG-Campbell River General Hospital-Main Building-Basement 1","main building","B1","102","BC Cancer Agency"
"","VIHA-CRHCC-Campbell River Home & Community Care","Main Building","Basement 1","102 - Nancy Clements","BIOMed"
"","VIHA-CRHCC-Campbell River Home & Community Care-Main Building-1st Floor","Main building","WFH","103","Biomed"
"","VIHA-CRHCC-Campbell River Home & Community Care-Main Building-2nd Floor","Main hospital","Whitehouse","103 - Charlene MacKinnon","Biomedical Engineering"
"","VIHA-CRIP-Campbell River Ironwood Place-Main Building-1st Floor","Main Hospital","Whitehouse-1st Floor","104","Bone and Joint"
"","VIHA-CRMC-Campbell River Marwalk Crescent-Main Building","Main uilding","Whitehouse-2nd Floor","104 in PCAC/admin building","Bone and Joint Clinic"
"","VIHA-CRMC-Campbell River Marwalk Crescent-Main Building-1st Floor","Primary Access Clinic","","105","Cairnsmore Place"
"","VIHA-CRMHAS-Campbell River Mental Health & Addiction Services","Tyee Plaza","","106","Campbell River ACSS"
