City,Location,Building,Floor,Room,Department
"","","","","","MOA Admitting"
"Ladysmith","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","1","106 (Ladysmith Vascular Lab)","Consulting Services"
"Ladysmith","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","1","129 (Outpatient Dietitian)","Nutrition Services"
"","","","","","Home Care Nursing Ladysmith"
"Ladysmith","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-Basement 1","Main Building","G","G21 (Coordinator Office)","Environmental Support Services"
"Ladysmith","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-Basement 1","Main Building","G","G24 (Dr. Office)","Practice Support Team"
"Duncan","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","2","254 (W110)","Projects"
"","","","","","Waiting Room"
"Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1","1143 (Mammo Exam Room)","Medical Imaging"
"Salt Spring Island","VIHA-LMH-Lady Minto Hospital-Main Building-Basement 1","Main Building","G","009 (Dietician)","Mental Health and Substance Abuse"
"Salt Spring Island","VIHA-LMH-Lady Minto Hospital-Main Building-Basement 1","Main Building","G","014 (Staff Cafeteria)","Food Services"
"","","","","","HC Admin Duncan"
"Salt Spring Island","VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor","Main Building","1","NOT FOUND","Unknown"
"","","","","","MDRD"
"Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3","3033 (Clinical Coordinator Office)","Indigenous Navigator"
"Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2","2043 (2nd Floor Day Room)","Indiginus Liaison"
"Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1","1069 (Ophthalmology OR)","Ophthalmology"
"Ladysmith","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-Basement 1","Main Building","G","NOT FOUND","FMO Admin Support CI/NI"
"","","","","","FMO (Leased Facility Maintenance)"
"Ladysmith","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-Basement 1","Main Building","G","NOT FOUND","Teleconference Room"
"Ladysmith","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","1","NOT FOUND (104)","North Cowichan Comm Hlth Serv"
"Chemainus","VIHA-CHCC-Chemainus Health Care Centre-Main Building-Basement 1","Main Building","G","L139B (Adult Day Program Office)","Adult Day Program"
"Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3","THIS NEW ONE","Cancer Care"
"Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1","1102 (Pre-Admissions)","Administration"
"Salt Spring Island","VIHA-LMH-Lady Minto Hospital-Lionel Beach Annex-1st Floor","Annex Building","1","13B","Community Health Services"
"Salt Spring Island","VIHA-LMH-Lady Minto Hospital-Lionel Beach Annex-1st Floor","Annex Building","1","12B","CHS Nursing SSI"
"","","","","","Bio-Medical Engineering"
"","","","","","Cowichan Primary Care"
"Lake Cowichan","VIHA-LCHU-Lake Cowichan Health Unit-Main Building-1st Floor","Main Building","1","Clinic Room (RM 5)","Primary Care Network"
"","","","","","Abil Mgt Intk & Ret to Wrk"
"","","","","","Staffing"
"","","","","","Pathway to Hope Cowichan"
