"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","location.u_deskside_assignment_group"
"LD065047","LD040953","","011NTCZ0H315","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1018 (Health Records)","1","","","NTT-Deskside Services-Cowichan-Staffed"
"LD020289","LD020289","HSS-8022114","104JGC3","VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1","Trailer","WFH - Trailer 1 (Dr Graham Blackburn)","G","VIHATRP20210607-011","09/30/2029","NTT-Deskside Services-Cowichan-Staffed"
"LD066348","LD066348","HSS-8078979","10Y5PW3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor","Main Building","115 (W51)","1","VIHATRP20231003-014","12/31/2031","NTT-Deskside Services-Cowichan-Local"
"LD044452","LD044452","HSS-8086884","10Z2VZ3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","WFH","1","VIHATRP20240520-021","07/31/2032","NTT-Deskside Services-Cowichan-Local"
"LD080341","LD080341","HSS-1040076","111MVF3","VIHA-CPRC-Cairnsmore Place (CDH)-Main Building-1st Floor","New Building","112 (CNL Office)","1","REQ0793707-RITM0833961-SCTASK1316655","11/30/2030","NTT-Deskside Services-Cowichan-Local"
"LD090429","LD090429","HSS-1045344","11B6PW3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","NOT FOUND(TBD)","1","REQ1211700-RITM1276300-SCTASK2054031","04/30/2032","NTT-Deskside Services-Cowichan-Staffed"
"PC031851","PC031851","HSS-8080422","11H7PW3","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2065 (Nursery)","2","VIHATRP20231113-035","01/31/2032","NTT-Deskside Services-Cowichan-Staffed"
"LD046182","LD046182","HSS-8086912","1256VZ3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor","Main Building","138 (W19)","1","VIHATRP20240520-085","07/31/2032","NTT-Deskside Services-Cowichan-Local"
"","PC049852","","1263415873","VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor","Main Building","X-Ray Room","","","","NTT-Deskside Services-Cowichan-Local"
"PC036362","PC036362","HSS-8065709","12660N3","VIHA-CPRC-Cairnsmore Place (CDH)-Main Building-1st Floor","Old Building","RM# 41","","VIHATRP081522-005","11/30/2030","NTT-Deskside Services-Cowichan-Local"
"LD066376","LD066376","HSS-8080489","12H7PW3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor","Main Building","118 (W83)","1","VIHATRP20231113-076","01/31/2032","NTT-Deskside Services-Cowichan-Local"
"LD034955","LD034955","HSS-8077211","12ZPQT3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","D Wing","D077 (Bridgette von B)","1","VIHATRP20230807-001","10/31/2031","NTT-Deskside Services-Cowichan-Local"
"PC033083","PC033083","HSS-8080390","13B6PW3","VIHA-DMHC-Duncan Mental Health Centre-Main Building-1st Floor","Main Building","2","1","VIHATRP20231113-013","01/31/2032","NTT-Deskside Services-Cowichan-Local"
"PC031870","PC031870","HSS-8084915","13V5VZ3","VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor","Main Building","130 (Laboratory)","1","VIHATRP20240325-029","05/31/2032","NTT-Deskside Services-Cowichan-Remote"
"LD030912","LD030912","HSS-8023688","14PHL93","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor","Main Building","139 (W23)","1","VIHATRP20210816-053","02/28/2030","NTT-Deskside Services-Cowichan-Local"
"LD048203","LD048203","HSS-8092729","14TMG14","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor","Main Building","132","1","ILSHTRP20250324","06/30/2033","NTT-Deskside Services-Cowichan-Local"
"PC077410","PC077410","HSS-1985374","14TMVF3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1128 (Nurse Station)","1","DMND0003653 EMP","09/30/2030","NTT-Deskside Services-Cowichan-Staffed"
"PC039827","PC039827","HSS-8070704","14TSVP3","VIHA-DWRC-Duncan Wellness and Recovery Centre-Main Building-1st Floor","Main Building","306 (Counselor)","3","VIHATRP20230109-028","03/31/2031","NTT-Deskside Services-Cowichan-Local"
"LD086222","LD086222","HSS-1047200","15F4VZ3","VIHA-CPRF-Caulfield Place Residential Facility-Main Building-1st Floor","Main Building","103","1","REQ1356814-RITM1431039-SCTASK2314801","08/31/2032","NTT-Deskside Services-Cowichan-Local"
"TD001629","TD001629","HSS-8083252","15MJTY3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","254 (W110)","2","VIHATRP20240205-033","04/30/2032","NTT-Deskside Services-Cowichan-Local"
"LD105840","LD105840","HSS-1044030","1657PW3","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","Doctor's Lounge","1","REQ1088497-RITM1145676-SCTASK1833338","11/30/2031","NTT-Deskside Services-Cowichan-Local"
"PC052248","PC052248","HSS-8095086","1658W14","VIHA-DMHC-Duncan Mental Health Centre-Main Building-1st Floor","Main Building","11","1","INC4489581","09/30/2030","NTT-Deskside Services-Cowichan-Local"
"LD100273","LD100273","HSS-8077280","168PQT3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","262 (W148) Sue Kurucz","2","VIHATRP20230807-049","10/31/2031","NTT-Deskside Services-Cowichan-Local"
"PC076598","PC076598","HSS-1032835","169JRH3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B28 (Staff Scheduling)","1st","REQ0498433-RITM0522778-SCTASK0819260","05/31/2030","NTT-Deskside Services-Cowichan-Local"
"LD100094","LD100094","HSS-1039526","16MMVF3","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","WFH - Kerstin Lewis","1","REQ0757004-RITM0795394-SCTASK1267108","10/31/2030","NTT-Deskside Services-Cowichan-Local"
"PC031283","16TMG14 MONITOR P2423D","","16TMG14","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3N (Nurse Station)","3","ILSHTRP20250324-006","06/30/2033","NTT-Deskside Services-Cowichan-Staffed"
"PC047338","PC047338","HSS-8073915","16VPQT3","VIHA-LMH-Lady Minto Hospital-Main Building-Basement 1","Main Building","029 (FMO Manager)","G","VIHATRP20230424-001","07/31/2031","NTT-Deskside Services-Cowichan-Remote"
"PC023524","PC023524","HSS-8080446","1707PW3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B32 (Staff Scheduling)","1","VIHATRP20231113-054","01/31/2032","NTT-Deskside Services-Cowichan-Local"
"PC023521","PC023521","HSS-8083235","1757PW3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B28 (Staff Scheduling)","1","VIHATRP20240205-026","04/30/2032","NTT-Deskside Services-Cowichan-Local"
"LD091857","LD091857","HSS-8080444","1797PW3","VIHA-DGSHC-Duncan Government Street Health Centre-Main Building-1st Floor","Main Building","11","1","VIHATRP20231113-053","01/31/2032","NTT-Deskside Services-Cowichan-Local"
"LD032263","LD032263","HSS-8065555","17H60N3","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2043 (2nd Floor Day Room)","2","VIHATRP20220808-166","11/30/2030","NTT-Deskside Services-Cowichan-Staffed"
"LD065614","LD065614","HSS-8076507","17HSVP3","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","115 (Child Youth & Family Services)","1","VIHATRP20230717-013","09/30/2031","NTT-Deskside Services-Cowichan-Local"
"LD081356","LD081356","HSS-1110208","17TMG14","VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1","Trailer","1st admin trailer","G","REQ1639339-RITM1730057-SCTASK2777914","06/30/2033","NTT-Deskside Services-Cowichan-Staffed"
"PC077330","PC077330","HSS-1035382","17ZWDM3","VIHA-CPRF-Caulfield Place Residential Facility-Main Building-1st Floor","Main Building","Main Room","1st","REQ0428109-RITM0448799-SCTASK0993749","08/31/2030","NTT-Deskside Services-Cowichan-Local"
"PC032183","PC032183","HSS-8083204","1807PW3","VIHA-DMHC-Duncan Mental Health Centre-Main Building-1st Floor","Main Building","26","1","VIHATRP20240205-007","03/31/2032","NTT-Deskside Services-Cowichan-Local"
"LD030732","LD030732","HSS-8065761","18270N3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor","Main Building","137 (W7)","1","VIHATRP20220815-138","11/30/2030","NTT-Deskside Services-Cowichan-Local"
"PC066006","PC066006","","1890334064","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1088 (Mammography Office)","1","","","NTT-Deskside Services-Cowichan-Staffed"
"PC066006","PC066006","","1890334065","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1088 (Mammography Office)","1","","","NTT-Deskside Services-Cowichan-Staffed"
"LD066471","LD066471","HSS-8083264","1897PW3","VIHA-MMHU-Margaret Moss Building-Main Building-1st Floor","Main Building","13 (.Lisa Horvath - Admin Lead)","1","VIHATRP20240205-048","04/30/2032","NTT-Deskside Services-Cowichan-Local"
"LD066344","LD066344","HSS-8078966","18C5PW3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor","Main Building","132 (W9) - Breakout Room","1","VIHATRP20231003-007","12/31/2031","NTT-Deskside Services-Cowichan-Local"
"PC031853","PC031853","HSS-1035888","18L60N3","VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor","Main Building","4037 (Nurse Station)","4th","REQ0624718-RITM0656234-SCTASK1048192","09/30/2030","NTT-Deskside Services-Cowichan-Staffed"
"LD034307","LD034307","HSS-1045275","18MJTY3","VIHA-DWRC-Duncan Wellness and Recovery Centre-Main Building-1st Floor","Main Building","WFH - ???","3","REQ1209652-RITM1274127-SCTASK2040623","03/31/2032","NTT-Deskside Services-Cowichan-Local"
"LD027203","LD027203","HSS-8076115","18PTVP3","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","124 (Home & Community Care)","1","VIHATRP20230717-017","09/30/2031","NTT-Deskside Services-Cowichan-Local"
"PC028549","PC028549","HSS-8065765","18S60N3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B46","","VIHATRP20220815-140","11/30/2030","NTT-Deskside Services-Cowichan-Local"
"","HSS-8083253","HSS-8083253","1907PW3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","OR 3 On Dell Thin Client","1","VIHATRP20240205-040","04/30/2032","NTT-Deskside Services-Cowichan-Staffed"
"PC031290","PC031290","HSS-8027524","192JRH3","VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1","Main Building","G101 (Pharmacy - Back)","","VIHATRP20220314-070","06/30/2030","NTT-Deskside Services-Cowichan-Staffed"
"PC026624","PC026624","HSS-8091692","192LG14","VIHA-SSMHSU-Salt Spring Mental Health Substance Use Services-Main Building-1st Floor","Lancer Building","Office 1","1","VIHATRP20241216","01/31/2033","NTT-Deskside Services-Cowichan-Remote"
"PC061071","PC061071","HSS-8086906","19K3VZ3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor","Main Building","138 (W18)","1","VIHATRP20240520-082","07/31/2032","NTT-Deskside Services-Cowichan-Local"
"LD027259","LD027259","HSS-8082721","19KKTY3","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","125 (Home & Community Care)","1","VIHATRP20240122-040","03/31/2032","NTT-Deskside Services-Cowichan-Local"
"PC035993","PC035993","HSS-1200361","19MPQT3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1134 (Nurse Station)","1","INC3718199","12/31/2026","NTT-Deskside Services-Cowichan-Staffed"
"PC031442","PC031442","HSS-8025687","19XKGC3","VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor","Main Building","M02 (Harbourside Unit Clerk's Office)","1","VIHATRP20211129-023","02/28/2030","NTT-Deskside Services-Cowichan-Local"
