"City","Location","Building","Floor","Room","Department"
"Gabriola Island","VIHA-AGRC-Arranglen Gardens-Main Building-1st Floor","#203-2000 Island Hwy.","#8 1599 Dufferin Crescent","'-","'-"
"Nanaimo","VIHA-BCN-Bowen Center Nanaimo","#40 - 1925","0","# 29 Rebekah Kirk's Office","(TBD)"
"Parksville","VIHA-BCN-Bowen Center Nanaimo-Main Building","#8-1599 Dufferin Cr","0th Floor","#2","?"
"Qualicum Beach","VIHA-BCN-Bowen Center Nanaimo-Main Building-1st Floor","#8-1599 Dufferin Cres","1","#25","???"
"","VIHA-BCSWC-Barsby Community School Wellness Centre-Main Building-1st Floor","?","1st","#29","1071 - Physicians Lounge"
"","VIHA-BLMHAS-Brooks Landing Mental Health & Addictions Services","1190 Seafield Cres Nanaimo","1st Floor","#29 - 1925 Bowen Rd","1071 - Physician's Lounge"
"","VIHA-BLMHAS-Brooks Landing Mental Health & Addictions Services-Main Building","1192 Seafield Cres.","1st Floor - across from Codebrew Coffee","(TBD)","1071-Physician?s Lounge"
"","VIHA-BLMHAS-Brooks Landing Mental Health & Addictions Services-Main Building-1st Floor","1200 Dufferin","2",".Reception","1461 Estevan Rd"
"","VIHA-CDC-Clearview Detox Centre","1200 Dufferin Crescent","2nd",".Reception - Desk 103","3rd Floor Surgical Care"
"","VIHA-CDC-Clearview Detox Centre-Main Building-1st Floor","1461 Estevan Rd","2nd floor","?","Abil Mgt Intk & Ret to Wrk"
"","VIHA-CDT-Communicable Disease & Travel","1665 Grant AVe","2nd Floor","? - Rick's Office","Ability Mgt Consulting & Accom"
"","VIHA-CDT-Communicable Disease & Travel-Main Building-1st Floor","1665 Grant Ave","3","??","Ability Mgt Intk & Ret to Work"
"","VIHA-CISC-Centre Island Surgical Centre","1665 Grant Avenue","3RD","???","Aboriginal Health"
"","VIHA-CISC-Centre Island Surgical Centre-Main Building","1925 Bowen Road","3rd","??? (TBD)","Access & Intake"
"","VIHA-CISC-Centre Island Surgical Centre-Main Building-Basement 1","202-1621 Dufferin Cres","3rd Floor","??? Activity office","Accounting Services"
"","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre","206-96 Cavan Street, Nanaimo","4","0","Accounts Payable"
"","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building","22","4th Floor","09 (Hospital Commons)","Activities"
"","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building-1st Floor","25 1925 Bowen Road","5","1","Activity Coordinator"
"","VIHA-DPRC-Dufferin Place (NRGH)","25-1925 Bowen Road","5th Floor","10","ACV HIM Registration Quality"
"","VIHA-DPRC-Dufferin Place (NRGH)-Main Building","3151 Barons Rd","6","10 - Hallway","ACV Indust Hygien & Envir Serv"
"","VIHA-DPRC-Dufferin Place (NRGH)-Main Building-1st Floor","3260 Norwell Dr","6th FLOOR","10 (292 & 293)","ACV Physcn Qual Improv Initiat"
"","VIHA-DPRC-Dufferin Place (NRGH)-Main Building-Basement 1","39-1925 Bowen Rd","6th Floor","100","ACV Security Systems"
"","VIHA-EPLTC-Eagle Park","4488 Wellington Rd suite 2B","B","1001","Addiction Medecine"
"","VIHA-EPLTC-Eagle Park-Main Building","489 Alberni Highway Parksville","b","1001 - Main Entrance","Admin"
"","VIHA-EPLTC-Eagle Park-Main Building-1st Floor","489 alberni hwy","B 1","1003A","Administration"
"","VIHA-GIHC-Gabriola Island Health Centre","489 Alberni Hwy","B1","1003B","Administration Office"
"","VIHA-GIHC-Gabriola Island Health Centre-Main Building-1st Floor","489 Alberni Hwy - Trillium Lodge","Basement","1003C","Administrative Services"
"","VIHA-MAUPCC-Medical Arts Urgent Primary Care Centre","489 Alberni Hwy, Parksville","Basement 1","1003C-WFH","Admitting"
"","VIHA-MAUPCC-Medical Arts Urgent Primary Care Centre-Main Building-1st Floor","528 Wentworth","Bsmt","1003D","Admitting & Patient Flow"
"","VIHA-MDO-Metral Drive Offices","528 Wentworth Street, Nanaimo","First floor","1009","Adolescent Psychiatry"
"","VIHA-MDO-Metral Drive Offices-Main Building","6475 Metral Dr","first floor","1010 - Office","Adult Clinic - Pt Alberni"
"","VIHA-MDO-Metral Drive Offices-Main Building-3rd Floor","6475 Metral Drive","Floor 1","1011","Adult Community Services"
"","VIHA-NBCBC-Nanaimo Boundary Crescent Beaufort Centre-Main Building","6475 Metral Drive, Nanaimo, BC","Floor 2","1011A","ALC"
