"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","location.u_deskside_assignment_group"
"","HSS-8008720-M1","HSS-8008720-M1","","VIHA-NRGH-Nanaimo Regional General Hospital","Main Building","Admin","1","","","NTT-Deskside Services-Nanaimo-Staffed"
"PC090022","PC090022","HSS-1043478","","VIHA-NMMC-Nanaimo Millstone Medical Centre-Main Building-2nd Floor","","202-7","2","","","NTT-Deskside Services-Nanaimo-Local"
"","HSS-8008740-M1","HSS-8008740-M1","","VIHA-NRGH-Nanaimo Regional General Hospital","Main Building","Emergency Admitting","1","","","NTT-Deskside Services-Nanaimo-Staffed"
"","HSS-8008767-M1","HSS-8008767-M1","","VIHA-NRGH-Nanaimo Regional General Hospital","Main Building","G253","G","","","NTT-Deskside Services-Nanaimo-Staffed"
"","HSS-8000902-M2","HSS-8000902-M2","","VIHA-NRGH-Nanaimo Regional General Hospital","","","","","","NTT-Deskside Services-Nanaimo-Staffed"
"","HSS-8008883-M1","HSS-8008883-M1","","VIHA-NWR-Nanaimo Waddington Road","Main Building","1022","1","","","NTT-Deskside Services-Nanaimo-Local"
"","LD034574","","001NTSU5H350","VIHA-OHC-Oceanside Health Centre","Main","WFH","WFH","","","NTT-Deskside Services-Nanaimo-Local"
"","LD040975","","003NDKD2F389","VIHA-NER-Nanaimo Estevan Road-Main Building-1st Floor","Main Building","WFH","1","","","NTT-Deskside Services-Nanaimo-Local"
"","LD031977","","007NTDVL8178","VIHA-TLLTC-Trillium Lodge-Main Building-1st Floor","","4","","","","NTT-Deskside Services-Nanaimo-Local"
"LD100678","TD030703","","008NTEPEX380","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-2nd Floor","Main Building","205","2","","","NTT-Deskside Services-Nanaimo-Staffed"
"LD035716","LD035716","HSS-8062149","10260N3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Ground Floor","Main Building","G005","G","VIHATRP20220929-068","11/30/2030","NTT-Deskside Services-Nanaimo-Staffed"
"TD020409","TD020409","HSS-8078212","102SQT3","VIHA-NHC-Nanaimo Health Centre-Main Building-1st Floor","Main Building","123","2","VIHATRP20230904-051","11/30/2031","NTT-Deskside Services-Nanaimo-Local"
"PC023820","PC023820","HSS-8061102","104MVF3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","E1060 - Team Consult","","VIHATRP20220808-070","10/31/2030","NTT-Deskside Services-Nanaimo-Staffed"
"LD090673","LD090673","HSS-8083750","1085VZ3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main","WFH","B","VIHATRP20240219-038","04/30/2032","NTT-Deskside Services-Nanaimo-Staffed"
"LD043503","LD043503","HSS-8083767","108KTY3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","Remote office","1st Floor","VIHATRP20240219-052","04/30/2032","NTT-Deskside Services-Nanaimo-Staffed"
"LD038796","LD038796","HSS-8077917","108SQT3","VIHA-EPLTC-Eagle Park-Main Building-1st Floor","Main Building","Clinical Nurse Lead - Crystal","1","VIHATRP20230828-006","10/31/2031","NTT-Deskside Services-Nanaimo-Local"
"PC090020","PC090020","HSS-1038515","10BJRH3","VIHA-NMMC-Nanaimo Millstone Medical Centre-Main Building-2nd Floor","Main Building","202-6 (Office W?)","2","REQ0693451-RITM0728470-SCTASK1191366","06/30/2030","NTT-Deskside Services-Nanaimo-Local"
"LD022737","LD022737","HSS-8084123","10K5VZ3","VIHA-NWRD-Nanaimo Waddington Road-Integrated Primary & Community Care-Main Building-2nd Floor","Main Building","Office #13","2","VIHATRP20240304-007","04/30/2032","NTT-Deskside Services-Nanaimo-Local"
"PC046567","PC046567","HSS-1200211","10LKG14","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Ground Floor","Main Building","G262","G","INC3366406","05/31/2029","NTT-Deskside Services-Nanaimo-Staffed"
"LD041784","LD041784","HSS-1031165","10THGC3","VIHA-NER-Nanaimo Estevan Road-Main Building-1st Floor","Main Building","107 - Ingrid Flynn","1","REQ0400964-RITM0420159-SCTASK0654366","01/31/2030","NTT-Deskside Services-Nanaimo-Local"
