"City","Location","Building","Floor","Room","Department"
"Comox","VIHA-AMHO-Auxiliary Mental Health Office","200 - 635 Fitzgerald Ave","0","006","'-"
"Courtenay","VIHA-AMHO-Auxiliary Mental Health Office-Main Building","38 Wing","0th Floor","008","3A Medicine"
"Cumberland","VIHA-AMHO-Auxiliary Mental Health Office-Main Building-1st Floor","615 Tenth Street","1","01","3B Medicine"
"Denman Island","VIHA-CCA_92-Courtenay Cliffe Avenue (#92)-Main Building-1st Floor","615 Tenth Street, Courtenay","1st Floor","013","3D"
"Hornby Island","VIHA-CCA-Courtenay Cliffe Avenue","941-A England Ave.","2","014 - Basement Reception","3D Medicine"
"","VIHA-CCA-Courtenay Cliffe Avenue-Main Building-1st Floor","Admin Building","2nd","016","4A Medical Unit"
"","VIHA-CCDF-Cumberland Community Dialysis Facility-Main Building-1st Floor","Cumberland Health Centre","2nd Floor","1","Abil Mgt Consult & Accom"
"","VIHA-CCRHC-Courtenay Cumberland Road Health Unit-Main Building-1st Floor","CVH","3","1 - Nancy Diedericks CRG Occupational Therapy","Abil Mgt Intk & Ret to Wrk"
"","VIHA-CDLS-Courtenay Downtown Lab Services-Main Building-1st Floor","England Avenue 941 C","3rd Floor","1 (Helene's WFH)","Ability Mgt Consulting & Accom"
"","VIHA-CHC-Cumberland Health Centre","Home Support Building","4","1 Primary User: Sandra Brydon","Ability Mgt Intk & Ret to Work"
"","VIHA-CHC-Cumberland Health Centre-Main Building","ICU","4th Floor","10","Aboriginal Health"
"","VIHA-CHC-Cumberland Health Centre-Main Building-1st Floor","Main","92)-Main Building-1st Floor","100 nursing station (locked down zone)","Access & Intake"
"","VIHA-CHC-Cumberland Health Centre-Main Building-Basement 1","Main Building","Ground Floor","100/200 block med room (locked down zone)","ACT"
"","VIHA-CHU-Coastal Health Unit-Main Building-1st Floor","Main Building - 104","Histo","101","Administration"
"","VIHA-CHU-Coastal Health Unit-Main Building-2nd Floor","Main Buillding","Main","102","Admitting"
"","VIHA-CIHN-Courtenay Integrated Health Networks","Ryan Hill Apartments","Main Building","104","Adult Activity Centre"
"","VIHA-CIHN-Courtenay Integrated Health Networks-Main Building-3rd Floor","WFH","Main Floor","104 Office Coordinator/CSC","Adult Day Care"
"","VIHA-CRL-Cumberland Regional Hospital Laundry Society-Main Building-1st Floor","","Main floor","105","Adult Day Program"
"","VIHA-CVCHC-Comox Valley Community Health Centre","","","106","Ambulatory Care"
"","VIHA-CVCHC-Comox Valley Community Health Centre-Main Building-1st Floor","","","107","Ambulatory Care Admin"
"","VIHA-CVHCC-Comox Valley Home & Community Care-Main Building","","","109","Ambulatory Care Med Room"
"","VIHA-CVHCC-Comox Valley Home & Community Care-Main Building-1st Floor","","","11","Audiology"
"","VIHA-CVH-Comox Valley Hospital","","","11 (Vaccine Room)","Biomedical Engineering"
"","VIHA-CVH-Comox Valley Hospital-Main Building","","","110","Bio-Medical Engineering"
"","VIHA-CVH-Comox Valley Hospital-Main Building-0th Floor","","","111","Biomedical Engineering (CV2603)"
"","VIHA-CVH-Comox Valley Hospital-Main Building-1st Floor","","","112","Bone and Joint"
"","VIHA-CVH-Comox Valley Hospital-Main Building-2nd Floor","","","113","Brain Injury Prog & Dev Disab"
"","VIHA-CVH-Comox Valley Hospital-Main Building-3rd Floor","","","114","Brian Injury Program"
"","VIHA-CVH-Comox Valley Hospital-Main Building-4th Floor","","","115","Cairnsmore Place"
"","VIHA-CVMHAS-Comox Valley Mental Health & Addiction Services-Main Building-1st Floor","","","116 - Upper Boardroom","Cancer Care"
"","VIHA-CVNC-Comox Valley Nursing Centre","","","117","Cardio-Pulmonary Diagnostic Services"
"","VIHA-CVNC-Comox Valley Nursing Centre-Main Building-1st Floor","","","12","Care Sustainability"
"","VIHA-CVSVCLAL-Comox Valley Seniors Village & Casa Loma Assisted Living-Main Building-1st Floor","","","12 (Audiometric Technician)","Casual Rehab"
"","VIHA-DIHU-Denman Island Health Unit-Main Building-1st Floor","","","124","CCD Admin Support - Comox"
"","VIHA-HDHS-Hornby/Denman Home Support-Main Building-1st Floor","","","128","CCD Admin Support-Comox"
"","VIHA-HIHC-Hornby Island Health Centre-Main Building-1st Floor","","","13","CD Program"
"","VIHA-NICYF-North Island Child, Youth & Family-Main Building","","","13.5 (Audiologist)","CDF-Cumberland Clinic"
"","VIHA-NICYF-North Island Child, Youth & Family-Main Building-1st Floor","","","14","Central Education and Conference Facilities"
"","VIHA-RHARF-Ryan Hill Apartments Residential Facility-Main Building","","","1411","Central Education and Conference Facilities (Network Architecture)"
"","VIHA-RHARF-Ryan Hill Apartments Residential Facility-Main Building-1st Floor","","","1413 (WFH) M Dumais","Central Patient Registration"
"","VIHA-SJC-St. Joseph's Campus","","","15","CHS"
"","VIHA-SJC-St. Joseph's Campus-38 Wing-2nd Floor","","","150","CINI Food Servics Admin"
"","VIHA-SJC-St. Joseph's Campus-38 Wing-3rd Floor","","","150 (attached to projector)","Clinical Application Management"
"","VIHA-SJC-St. Joseph's Campus-Main Building-1st Floor","","","15058","Clinical Imp & Informatics"
"","VIHA-SJC-St. Joseph's Campus-Main Building-2nd Floor","","","152","Clinical Improve & Informatics"
"","VIHA-SJC-St. Joseph's Campus-Main Building-3rd Floor","","","152 - Float","Clinical Informatics"
"","","","","152 (WFH in Vic)","Clinical Information Services"
"","","","","153","Clinical Information Svrc"
"","","","","154","Clinical Nurse Educator"
"","","","","156","Clinical Nurse Educator - Mat/Child"
"","","","","157","Clinical Nurse Educators"
"","","","","16","Clinical Nutrition"
"","","","","16 - Boardroom","Colonoscopy"
"","","","","160","Communicable Disease Control"
"","","","","17","Communicable Disease Svc"
"","","","","18","Community Care & Licencing"
"","","","","19","Community Care & Licensing"
"","","","","19 - Board Room","Community Care & Licensing - WFH Jennifer Stigter"
"","","","","19 - Medical Health Officer","Community Health Service (CHS)"
"","","","","1st office on right","Community Health Services"
"","","","","2","Community Health Services (CHS)"
"","","","","2 - Float Workstation","Community Liaison"
"","","","","20","Community Liasion Nurses"
"","","","","201A","Community Rehab-Comox"
"","","","","201B","Community Virtual Care & Senior Health"
"","","","","202","Comox HCN Team CHS CV"
"","","","","204","Comox UPCC"
"","","","","204 WFH (Stacey Wright)","Comox Valley ACSS"
"","","","","205","Comox Valley ACT"
"","","","","206","Comox Valley Admin"
"","","","","208","Comox Valley Com MHSU"
"","","","","21","Comox Valley Healthcare Foundation"
"","","","","210","Comox Valley Home & Community Care"
"","","","","212","Comox Valley Home & Community Care-Main Building"
"","","","","212 (Loaner 5 from CVHCC)","Comox Valley Hosp Liaison"
"","","","","214","Comox Valley Hospital"
"","","","","217","Comox Valley Hospital Foundation"
"","","","","217 - Last user: Megan McGill","Comox Valley PCN"
"","","","","218","Comox Valley/CR MHSU"
"","","","","219","Contact Centre - HIM"
"","","","","22","COS EVP-Chief Medical Officer"
"","","","","220 - WFH - Louis DeBruin","Courtenay/Comox ICMT"
"","","","","220 - WFH - Rosanne Lyster","COV System Development"
"","","","","222","COVID19 Ambassadors"
"","","","","223","COVID19 Educ and Prac Supp"
"","","","","224","COVID19 Response PH"
"","","","","225 (JerriLyn Whitney - WFH)","Cowichan District Hospital."
"","","","","226","Cowichan Lodge Seniors & Adult - WFH Coulombe"
"","","","","228","Cowichan Valley PCN"
"","","","","229","CRG Occupational Therapy"
"","","","","23","Crisis Services"
"","","","","235","Crisis Team"
"","","","","24","Crisis Team - ER"
"","","","","25","CSO"
"","","","","26","Cumberland Lodge"
"","","","","27","CV Community Access Intake"
"","","","","28","CV Geriatric Specialty Srv"
"","","","","3","CV/CR Admin Suppport"
"","","","","300 block back reception","CVH Ambulatory Care"
"","","","","300 block Med Room (locked down zone)","CVH Emergency"
"","","","","300 Nursing Station (locked down zone)","CVH Inpatients - 3A & 3B"
"","","","","302 - WFH Mathew Titler","CVH Minor Day Procedures"
"","","","","303","CVH OBS - Peds"
"","","","","304","CVH Perioperative Intervention"
"","","","","306","CVH Psychiatric Outp-Youth"
"","","","","308 (WFR - Katie Lobb)","CVH Rehab and Social Work"
"","","","","310","CYF Admin"
"","","","","312","CYF NI Campbell River/Nootka"
"","","","","313","CYF NI Comox"
"","","","","314","CYFMHSU"
"","","","","315","Cystoscopy"
"","","","","317","Device Acquisition"
"","","","","320","Device Integration"
"","","","","321","Device Management"
"","","","","321 (WFH)","Device Management - PHSA"
"","","","","322","Diabetes"
"","","","","324","Diabetes Education Program"
"","","","","326","Diabetes Nursing"
"","","","","327","Dialysis Facility"
"","","","","329","Dietary"
"","","","","333","Dietitian Office"
"","","","","38","Dietitians"
"","","","","3C surgical","Digital Media Production"
"","","","","4","Drinking Water"
"","","","","4 - WFH","Eating Disorder Program"
"","","","","5","Eating Disorders"
"","","","","6","ED"
"","","","","6 (Speech & Language Pathologist)","Education"
"","","","","6 (Speech & Language Pearl Morin)","EH Tobacco Enforce"
"","","","","7","Emergency"
"","","","","7 (Carolyn - Public Health Manger)","Emergency Department"
"","","","","7 (Jennifer Block Manager)","Emergency Management"
"","","","","8","Emergency Services"
"","","","","9","EMP"
"","","","","9 (Audiometric Technician - Marietta Bippes)","End of Life"
"","","","","Admin","Endo"
"","","","","Admin Area - Signout #2","Endoscopy"
"","","","","Admin Lobby","Endoscopy Booking"
"","","","","Administration","Energy Env & Climate Chng"
"","","","","ADP (locked down zone)","Environmental Health"
"","","","","Adult Program","EOC"
"","","","","Anna's Office","EPMO Portfolio A"
"","","","","Anteroom","ESP - Dimensions"
"","","","","Audiology - Lab","Facilities Design & Constructi"
"","","","","Back of Reception - missing","Finance"
"","","","","Basement Boardroom","FMO"
"","","","","Board Room","Food Services"
"","","","","Charting Room","Foundation"
"","","","","CHC - WFH Jacqueline Keyes","Foundation Partnership"
"","","","","CHC PHARMACY","General Medical / Surgical Inpatient Unit"
"","","","","CNL Office","Geog 1/2 Pharmacy & Pharm LTC"
"","","","","Corrina's WFH laptop","Geriatric Specialty Services"
"","","","","COVID Laptop MWALLS","Geriatric Support Services"
"","","","","Covid Stock","GSS"
"","","","","CR2503 BIOMED","HC Admin Practice & Educ"
"","","","","CSO Office","Health Protection and Assessmt"
"","","","","CV 1472","Health Records"
"","","","","CV 3A","Heart and Lung"
"","","","","CV 3B","HIM Informatics"
"","","","","CV0101","HIM Registration"
"","","","","CV0102","Hip and Knee Booking"
"","","","","CV0103","Hip and Knee Centre"
"","","","","CV0116 - Food Services","Histology"
"","","","","CV0202","Hlth Svcs For Comm Liv"
"","","","","CV0203","Hlth Wellness Safe&Ability Mgt"
"","","","","CV0204","Home and Community Care"
"","","","","CV0205","Home and Community Care Comox"
"","","","","CV0208","home care"
"","","","","CV0208 - WFH Sadie Quintal","Home Care Monitoring"
"","","","","CV0208 (724)","Home Care Nursing"
"","","","","CV0220","Home Care Nursing-Comox"
"","","","","CV0222","Home Care Nursing-CR"
"","","","","CV0224","Home Care Service"
