"City","Location","Building","Floor","Room","Department"
"Brentwood Bay","VIHA-ABER-Aberdeen Hospital","� RJH","0","'-","'-"
"Galiano Island","VIHA-ABER-Aberdeen Hospital-Main Building","1","1","'- Room 15","(TBD)"
"North Pender Island","VIHA-ABER-Aberdeen Hospital-Main Building-1st Floor","100-4396 West Sannich Rd","1250 Quadra St - Office #4","#103. First floor","10023"
"Saanichton","VIHA-ABER-Aberdeen Hospital-Main Building-2nd Floor","100-4420 Chatterton Way","1471 Fort St, Victoria, BC V8S 1Z4","#1406 Therapy Service Office","1246"
"Sidney","VIHA-ABER-Aberdeen Hospital-Main Building-3rd Floor","1119 Pembroke","1837 Fort St","#229","1262"
"Victoria","VIHA-ABER-Aberdeen Hospital-Main Building-Basement 1","1119 pembroke","1St","#251 2nd floor","2 South"
"","VIHA-ADSC-Alcohol & Drug Services Clinic","1119 Pembroke - CARES","1st","#302","2A"
"","VIHA-ADSC-Alcohol & Drug Services Clinic-Main Building","1119 Pembroke Office","1st  Floor","#531","2A - filing cabinet"
"","VIHA-ADSC-Alcohol & Drug Services Clinic-Main Building-2nd Floor","1119 Pembroke Street","1st Floor","(WFH) Work From Home","2A - side office"
"","VIHA-AHRF-Adanac House Residential Facility-Main Building","1123 IMCRT section","1st floor","004","2C - back office"
"","VIHA-AHRF-Adanac House Residential Facility-Main Building-1st Floor","115-911 Yates Street","1st floor, Emergency department","005","2nd floor Lobby of Public Health Unit"
"","VIHA-BMR-Brentwood Marchant Road-Sluggett House-1st Floor","119 Pembroke","1st Flr","007","318 - 3rd Floor, 4243 Glanford Avenue and works from home"
"","VIHA-BSCR-Brentwood Stelly's Cross Road","1230 Styles St.","2","011 HW","5 North Nursing"
"","VIHA-BSRF-Blackwood Suites Residential Facility-Main Building-1st Floor","1250 Quadra","2 South","0139H","5N"
"","VIHA-CARF-Caribbean Apartments Residential Facility-Main Building-1st Floor","1837 Fort Street","2nd","0178","5S Medical Overflow"
"","VIHA-CCHW-Alex & Jo Campbell Centre for Health and Wellness-Main Building-1st Floor","2828 Nanaimo Street","2nd Floor","0182","5SW"
"","VIHA-CSNP-Community Service Centre-Main Building","2828 Nanaimo Street, Victoria, BC","2nd floor","020","643"
"","VIHA-DARS-Drug & Alcohol Rehab Society-Main Building-1st Floor","33.71.450006000","2nd Kenning Wing","024","6NE"
"","VIHA-DOS-Downtown Outreach Services-Main Building-1st Floor","3960 Quadra - new site","3","025","7N"
"","VIHA-DVUPCC-Downtown Victoria Urgent Primary Care Centre","3995 Quadra Street","3 kenning wing","071 4D1 (Mail Room)","ABE Nursing-Hillside"
"","VIHA-EMP-Eric Martin Pavilion","4243 Glanford Ave","3F","1","Aberdeen Pharmacy"
"","VIHA-EMP-Eric Martin Pavilion-Eric Martin Pavilion","4243 Glanford Avenue","3r","10","Abil Mgt Consult & Accom"
"","VIHA-EMP-Eric Martin Pavilion-Eric Martin Pavilion-1st Floor","4342 Glanford Avenue","3rd","10007","Abil Mgt Intk & Ret to Wrk"
"","VIHA-EMP-Eric Martin Pavilion-Eric Martin Pavilion-2nd Floor","528","3RD","10008","Ability Management"
"","VIHA-EMP-Eric Martin Pavilion-Eric Martin Pavilion-3rd Floor","547","3rd Fl. Homer Wing HWS&AM (aka Occ Healt","1001","Ability Mgt Intk & Ret to Work"
"","VIHA-EMP-Eric Martin Pavilion-Eric Martin Pavilion-4th Floor","582 Goldstream Avenue, unit 206","3rd Fl. Homer Wing HWS&AM (formerly OH&S","10015","Aboriginal Employment"
