"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","location.u_deskside_assignment_group"
"","HSS-8000042-M3","HSS-8000042-M3","","VIHA-RJH-Royal Jubilee Hospital","","","","","","NTT-Deskside Services-RoyalJubilee-Staffed"
"PC034753LEG","HSS-8008885-M1","HSS-8008885-M1","","VIHA-RJH-Royal Jubilee Hospital","Patient Care Center","PCC-S684","6","","","NTT-Deskside Services-RoyalJubilee-Staffed"
"LD063847","PC039934","","004NTQDGK884","VIHA-RJH-Royal Jubilee Hospital-Memorial Pavilion-2nd Floor","Memorial Pavilion","KW224","2","","","NTT-Deskside Services-RoyalJubilee-Staffed"
"PC066013","PC066013","","01102517NA","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor","D&T","DT1527","","","","NTT-Deskside Services-RoyalJubilee-Staffed"
"","LD037390","","0FDPN734AQMB","VIHA-RJH-Royal Jubilee Hospital-Administrative Building-1st Floor","Admin","BH146","1","","","NTT-Deskside Services-RoyalJubilee-Staffed"
"","106386","106386","0MSJHTPH500751T","VIHA-RJH-Royal Jubilee Hospital","Memorial Pavilion","KW125","1","","","NTT-Deskside Services-RoyalJubilee-Staffed"
"","C008321","C008321","0MSJHTPK505302Y","VIHA-RJH-Royal Jubilee Hospital","Main Building","KW131","1","","","NTT-Deskside Services-RoyalJubilee-Staffed"
"PC046364","PC046364","","0Z003279NA","VIHA-RJH-Royal Jubilee Hospital-Memorial Pavilion-2nd Floor","Memorial Pav","KW215 - Offline - TRP?","","","","NTT-Deskside Services-RoyalJubilee-Staffed"
"PC034045","PC034045","HSS-8025985","101LGC3","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor","Diagnostic & Treatment","OR #2","3","VIHATRP20211227-005","04/30/2030","NTT-Deskside Services-RoyalJubilee-Staffed"
"PC052858","PC052858","HSS-8060049","101MVF3","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor","D&T","DT1804","","VIHATRP20220718-036","10/31/2030","NTT-Deskside Services-RoyalJubilee-Staffed"
"PC036115","PC036115","HSS-8070496","101RVP3","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-1st Floor","PCC","S136","","VIHATRP20230103-068","03/31/2031","NTT-Deskside Services-RoyalJubilee-Staffed"
"","LD033959","","101UXZJ18085","VIHA-RJH-Royal Jubilee Hospital-Memorial Pavilion","","HW134","","","","NTT-Deskside Services-RoyalJubilee-Staffed"
