"City","Location","Building","Floor","Room","Department"
"Bamfield","VIHA-BAM-Bamfield Health Centre-Main Building-1st Floor","Community Health Services Alberni - Clayoquot 4259 6th Ave Port Alberni BC  V9Y 4N1","0","'-","'-"
"Port Alberni","VIHA-CFP-Coastal Family Place-Main Building-1st Floor","IMIT Deskside","1","03","1566 Peninsula Rd"
"Tofino","VIHA-KHCPA-Kiwanis Hilton Centre Port Alberni-Main Building-1st Floor","Main","1st Floor","06","261 Neill St"
"Ucluelet","VIHA-PACDF-Port Alberni Community Dialysis Facility-Main Building-1st Floor","Main building","2","1","265 First St"
"","VIHA-PAHCCS-Port Alberni Home & Community Care Services","Main Building","2nd Floor","10","272 Main St"
"","VIHA-PAHCCS-Port Alberni Home & Community Care Services-Main Building-1st Floor","Remote -WFH bundle","3rd kenning wing","1025","3949 Port Alberni Hwy"
"","VIHA-PAHC-Port Alberni Health Centre","Roger Street","Basement","105","4152 Redford St"
"","VIHA-PAHC-Port Alberni Health Centre-Main Building-1st Floor","WCGH","Main","11","4152 Redford Street"
"","VIHA-PAHC-Port Alberni Health Centre-Main Building-2nd Floor","WFH","","11 - Office Coordinator","4227-6th Ave"
"","VIHA-PAIHN-Port Alberni Integrated Health Network","","","12","4259 6th Ave"
"","VIHA-PAIHN-Port Alberni Integrated Health Network-Main Building-1st Floor","","","122","4259-6th Ave"
"","VIHA-PAMHAS-Port Alberni Mental Health & Addiction Services-Main Building-1st Floor","","","13 (Catherine Collicott - Team Lead)","4711 Elizabeth St"
"","VIHA-PARS-Port Alberni Redford Street-Main Building-1st Floor","","","14","4780 Roger St"
"","VIHA-PAST-Port Alberni Youth Short Term Assessment and Response-Main Building-1st Floor","","","142","4780 Roger St."
"","VIHA-TGH-Tofino General Hospital","","","1420","5050 Strathern Street"
"","VIHA-TGH-Tofino General Hospital-Main Building","","","1471A","ACT"
"","VIHA-TGH-Tofino General Hospital-Main Building-1st Floor","","","1486","ACV Med Staff Cred and Priv"
"","VIHA-TGH-Tofino General Hospital-Main Building-Basement 1","","","1520A","Admin"
"","VIHA-UFT-Ucluelet Family Ties-Main Building-1st Floor","","","1540","Admin - Chief of Staff"
"","VIHA-ULS-Ucluelet Lab Services-Main Building-1st Floor","","","1554 - Storage","Admin - Health Records"
"","VIHA-UPR-Ucluelet Peninsula Road","","","17","Admin - Hospital Administration"
"","VIHA-UPR-Ucluelet Peninsula Road-Community Health Centre-1st Floor","","","17 - Desk 4","Admin - OR Booking Office"
"","VIHA-UPR-Ucluelet Peninsula Road-Community Health Centre-2nd Floor","","","18","Administration"
"","VIHA-WCGH-West Coast General Hospital","","","19","Admitting"
"","VIHA-WCGH-West Coast General Hospital-Main Building","","","1st cubicle after reception","Adult Clinic - Pt Alberni"
"","VIHA-WCGH-West Coast General Hospital-Main Building-1st Floor","","","2","Adult Community Services"
"","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","","","20","Ambulatory Care"
"","VIHA-WCMHAS-West Coast Mental Health & Addiction Services-Main Building-1st Floor","","","201","Cardiac Ambulatory"
"","VIHA-WRC-Westhaven-Main Building-1st Floor","","","2020","Cardio"
"","","","","21","Cardio-Pulmonary Diagnostic Services"
"","","","","2102","Case Mgr"
"","","","","2110","Case Mgrs"
