"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","location.u_deskside_assignment_group"
"LD105429","LD105429","HSS-1111691","","VIHA-PAHC-Port Alberni Health Centre-Main Building-2nd Floor","","","2","","","NTT-Deskside Services-WestCoast-Local"
"PC075778","PC075778","HSS-1940273","104LG14","VIHA-UPR-Ucluelet Peninsula Road-Community Health Centre-1st Floor","Main Building","105","1","DMND0005326","08/31/2030","NTT-Deskside Services-WestCoast-Remote"
"PC035987","PC035987","HSS-1984825","10HKRH3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","WC2905 - Patient Room","2","DMND0003637","10/31/2030","NTT-Deskside Services-WestCoast-Staffed"
"PC033750","PC033750","PC033750","111RVP3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","WC2450 - Lab Reception desk","","VIHATRP20221114-057","03/31/2031","NTT-Deskside Services-WestCoast-Staffed"
"LD059222","LD059222","HSS-8095844","114LG14","VIHA-PARS-Port Alberni Redford Street-Mental Health and Addictions-1st Floor","Main Building","11","1","ISLHTRP20250922-017","09/30/2030","NTT-Deskside Services-WestCoast-Local"
"PC032067","PC032067","PC032067","11K60N3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","WC2330","","VIHATRP20221114-040","02/28/2031","NTT-Deskside Services-WestCoast-Staffed"
"PC033285","PC033285","HSS-1200759","1338W14","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","","WC2601 Psychiatry Nursing  Office","","INC4760099","07/31/2032","NTT-Deskside Services-WestCoast-Staffed"
"PC071738","PC071738","HSS-1033957","13PGRH3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","WC2303","2","REQ0529603-RITM0555836-SCTASK0891865","06/30/2030","NTT-Deskside Services-WestCoast-Staffed"
"LD036390","LD036390","","1481459522","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","2305","1","","","NTT-Deskside Services-WestCoast-Staffed"
"LD038212","LD038212","HSS-8058704","14SJRH3","VIHA-PAHCCS-Port Alberni Home & Community Care Services-Main Building-1st Floor","Main Building","22","1","VIHATRP20220505-044","08/31/2030","NTT-Deskside Services-WestCoast-Local"
"LD059222","LD059222","HSS-1036011","15060N3","VIHA-PARS-Port Alberni Redford Street-Mental Health and Addictions-1st Floor","Main Building","11","1","REQ0631486-RITM0663318-SCTASK1048262","09/30/2030","NTT-Deskside Services-WestCoast-Local"
"LD066070","LD066070","HSS-8073762","16FQQT3","VIHA-PARS-Port Alberni Redford Street-Mental Health and Addictions-1st Floor","Main Building","9","1","VIHATRP20230417-025","06/30/2031","NTT-Deskside Services-WestCoast-Local"
"PC077540","PC077540","HSS-1036882","16H60N3","VIHA-PAST-Port Alberni Youth Short Term Assessment and Response-Main Building-1st Floor","Main Building","Outreach 3","","REQ0644503-RITM0677064-SCTASK1084598","10/31/2030","NTT-Deskside Services-WestCoast-Local"
"PC067103","PC067103","HSS-8073780","17FQQT3","VIHA-PAHCCS-Port Alberni Home & Community Care Services-Main Building-1st Floor","Main Building","Reception","1","VIHATRP20230417-037","06/30/2031","NTT-Deskside Services-WestCoast-Local"
"","LD058319TRP","HSS-8095856","1858W14","VIHA-PAMHAS-Port Alberni Mental Health & Addiction Services-Main Building-1st Floor","Main Building","HOff","1","ISLHTRP20250922-025","09/30/2030","NTT-Deskside Services-WestCoast-Local"
"PC066026","PC066026","","1890301307","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","2258","2","","","NTT-Deskside Services-WestCoast-Staffed"
"PC066026","PC066026","","1890310712","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","2258","2","","","NTT-Deskside Services-WestCoast-Staffed"
"PC035988","PC035988","HSS-8073738","18FQQT3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","WC2343 - Foundation Office","2","VIHATRP20230417-004","06/30/2031","NTT-Deskside Services-WestCoast-Staffed"
"LD059222","LD059222","HSS-8095843","1958W14","VIHA-PARS-Port Alberni Redford Street-Mental Health and Addictions-1st Floor","Main Building","11","1","ISLHTRP20250922-017","09/30/2030","NTT-Deskside Services-WestCoast-Local"
"LD044273","LD044273","HSS-8086254","1973VZ3","VIHA-TGH-Tofino General Hospital-Main Building-1st Floor","Main Building","WFH","1st Floor","VIHATRP20240429-033","07/31/2032","NTT-Deskside Services-WestCoast-Remote"
"LD034320","LD034320","HSS-8089590","197JTY3","VIHA-PAMHAS-Port Alberni Mental Health & Addiction Services-Main Building-1st Floor","Main Building","7","1","VIHATRP20240909","11/30/2032","NTT-Deskside Services-WestCoast-Local"
"PC031599","PC031599","HSS-8023487","1C0HGC3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","WC2318- Administration","2","VIHATRP20210809-034","10/31/2029","NTT-Deskside Services-WestCoast-Staffed"
"LD081052","LD081052","HSS-1047925","1C63VZ3","VIHA-PARS-Port Alberni Redford Street-Mental Health and Addictions-1st Floor","Main Building","1","1","REQ1397579-RITM1474313-SCTASK2445277","11/30/2032","NTT-Deskside Services-WestCoast-Local"
"PC080199","PC080199","HSS-1044091","1CK6PW3","VIHA-BAM-Bamfield Health Centre-Main Building-1st Floor","Main Building","well women's room","1","REQ1093454-RITM1150977-SCTASK1844956","12/31/2031","NTT-Deskside Services-WestCoast-Remote"
"LD065126","LD065126","HSS-8095842","1CN8W14","VIHA-PARS-Port Alberni Redford Street-Mental Health and Addictions-1st Floor","Main Building","24","1","ISLHTRP20250922-016","09/30/2030","NTT-Deskside Services-WestCoast-Local"
"TD001763","TD001763","HSS-8090389","1CY4TY3","VIHA-PARS-Port Alberni Redford Street-Mental Health and Addictions-1st Floor","Main Building","ACT Team Room","1","VIHATRP20241007-008","12/31/2032","NTT-Deskside Services-WestCoast-Local"
"PC034087","PC034087","HSS-8086281","1DF4VZ3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","2313","2","VIHATRP20240429-054","07/31/2032","NTT-Deskside Services-WestCoast-Staffed"
"LD066228","LD066228","HSS-8024964","1DJKGC3","VIHA-PARS-Port Alberni Redford Street-Mental Health and Addictions-1st Floor","Main Building","Team Room","1","VIHATRP20211025-014","04/30/2030","NTT-Deskside Services-WestCoast-Local"
"LD028772","LD028772","HSS-1042739","1DLTVP3","VIHA-PAMHAS-Port Alberni Mental Health & Addiction Services-Main Building-1st Floor","Main Building","5","1","REQ0941976-RITM0990578-SCTASK1599216","08/31/2031","NTT-Deskside Services-WestCoast-Local"
"PC037565","PC037565","HSS-1046320","1DP3TY3","VIHA-PAMHAS-Port Alberni Mental Health & Addiction Services-Main Building-1st Floor","Main Building","14","1","REQ1273657-RITM1342913-SCTASK2163471","06/30/2032","NTT-Deskside Services-WestCoast-Local"
"LD030975","LD030975","HSS-8095847","1DQ6W14","VIHA-PAHC-Port Alberni Health Centre-Main Building-1st Floor","Main Building","21","1","ISLHTRP20250922-020","09/30/2030","NTT-Deskside Services-WestCoast-Local"
"","LD090676","HSS-1046324","1FP3TY3","VIHA-PAMHAS-Port Alberni Mental Health & Addiction Services","4780 Roger Street","Room 13","Main","REQ1273660-RITM1342916-SCTASK2163277","06/30/2032","NTT-Deskside Services-WestCoast-Local"
"PC040011","PC040011","HSS-8058706","1FPKRH3","VIHA-PAHCCS-Port Alberni Home & Community Care Services-Main Building-1st Floor","Main Building","Break Room","","VIHATRP20220505-045","08/31/2030","NTT-Deskside Services-WestCoast-Local"
"LD033692","LD033692","HSS-1972929","1HJKGC3","VIHA-PAHCCS-Port Alberni Home & Community Care Services-Main Building-1st Floor","Main Building","South HCN","1","DMND0003120","12/31/2029","NTT-Deskside Services-WestCoast-Local"
"PC077216","PC077216","HSS-1984811","1LVJRH3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","WC2514 (Reports Room A)","","DMND0003637","10/31/2030","NTT-Deskside Services-WestCoast-Staffed"
"PC067146","PC067146","HSS-8086288","1MZ3VZ3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","WC2426","2","VIHATRP20240429-061","07/31/2032","NTT-Deskside Services-WestCoast-Staffed"
"LD066253","LD066253","HSS-8058724","1NJJRH3","VIHA-WCGH-West Coast General Hospital-Main Building-1st Floor","Main Building","Rm 6","1","VIHATRP20220505-055","08/31/2030","NTT-Deskside Services-WestCoast-Staffed"
"PC032106","PC032106","PC032106","1P170N3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","WCMedSurg - Nursing Station - A Side Desk","","VIHATRP20221114-059","03/31/2031","NTT-Deskside Services-WestCoast-Staffed"
