"City","Location","Building","Floor","Room","Department"
"Alert Bay","VIHA-CICHC-Cormorant Island Community Health Centre-Main Building-1st Floor","7070 Shorncliffe Dr","1","'-","'-"
"Kyuquot","VIHA-ERM-Eagle Ridge Manor-Main Building-1st Floor","Admin Building","1st","?","Aboriginal Health"
"Port Alice","VIHA-KYU-Kyuquot Health Centre","Admin Trailer","1st Floor","10","ACN Mt Waddington Reg Admin"
"Port Hardy","VIHA-KYU-Kyuquot Health Centre-Main Building-1st Floor","Admin trailer","2","106-Trauma room","Acute care"
"Port McNeill","VIHA-PAH-Port Alice Health Center-Main Building-1st Floor","Eagle Ridge Manor","","208","Acute Care"
"Sointula","VIHA-PHFP-Port Hardy Family Practice-Main Building","KYU","","210","Acute Care Wing- Nurses station"
"Woss","VIHA-PHFP-Port Hardy Family Practice-Main Building-1st Floor","Main","","3","ACV Clinical Mentors"
"","VIHA-PHHC-Port Hardy Health Centre","Main Building","","408 FNHA-Temp stored in Rehab office","ACV Med Staff Cred and Priv"
"","VIHA-PHHC-Port Hardy Health Centre-Main Building-1st Floor","Main building","","415-Yellow Room","ACV Physician Contracts"
"","VIHA-PHH-Port Hardy Hospital","Woss Clinic","","6","ACV Protection Svcs Admin"
"","VIHA-PHH-Port Hardy Hospital-Main Building-1st Floor","","","ACT desk laptop","ADMIN"
"","VIHA-PHMHAS-Port Hardy Mental Health & Addiction Services","","","ACT room","Admin"
"","VIHA-PHMHAS-Port Hardy Mental Health & Addiction Services-Main Building-1st Floor","","","Acute care","Administration"
"","VIHA-PHPCC-Port Hardy Primary Care Centre-Main Building-1st Floor","","","Acute Care","Admitting"
"","VIHA-PMAPCC-Port McNeill A'ekakila'as Primary Care Centre-Main Building-1st Floor","","","Acute care - Med Room","Ambulatory"
"","VIHA-PMH-Port McNeill Hospital-Main Building-1st Floor","","","Admin","Ambulatory Care"
"","VIHA-SHC-Sointula Health Clinic-Main Building-1st Floor","","","Admin - Jodi Wright","AVP Physicians Contracts"
"","VIHA-WRH-Woss Rural Health-Main Building-1st Floor","","","Admin area","CCD Admin Support-Comox"
"","","","","Admin Building (trailer)","CH1  Community Health"
"","","","","ADMIN OFC","CHS"
"","","","","Admin office","CHS NVI Case Mgmt"
"","","","","Admin Office","CHW"
"","","","","Admin Office (Back of Office by Clock)","CI/NI CYMH & Substance Use"
"","","","","Admin Office (Left of Enter Door)","Clinical Risk Management"
"","","","","Admin Office (Middle of Office)","Clinical Svc Mt Waddington"
"","","","","Admin Office-Admitting","Combined Medical/Surgical"
"","","","","Admin Trailer","Community Health"
"","","","","Admin Trailer - Sandra Rezansoff","Community Rehab-Re3"
"","","","","Admin trailer-Hayley Mcconnell's office","COV Talent Experience"
"","","","","Admin-Jodi Wright","COVID"
"","","","","Admitting","COVID Mt Waddington Strath Adm"
"","","","","Ambulatory Care","CSN MT Waddington ADP"
"","","","","Ambulatory Care room","CSN PHC"
"","","","","Ambulatory care room.","CVH Rehab and Social Work"
"","","","","Back Office (dental office)","Device Acquisition"
"","","","","Basement","Diabetes Education Program"
"","","","","Beside reception","Emergency Department"
"","","","","Between Maintainance and Recycling","Emergency medicine"
"","","","","Boardroom","Emergency Room"
"","","","","Boardroom-Cabinet","Emergency Services"
"","","","","Bull Pen","Environmental Health"
"","","","","Bullpen","ER/Ambulatory Care"
"","","","","Bullpen (Against backwall - 2nd from breakroom)","FMO"
"","","","","Bullpen (Against backwall - 3rd from breakroom)","FWL"
"","","","","Bullpen (Against sidewall - corner of room","Home & Community Care"
"","","","","Bullpen (Backwall facing window- 1st from breakroo","Home and Community"
"","","","","Bullpen (Backwall facing windows - 4th from breakr","Home Care Nursing-Re3"
"","","","","Bullpen (Harm Reduction Office)","Home Support Progr-Re3"
"","","","","Bullpen (Island of four desks - 2nd Closest to doo","Housekeeping"
"","","","","Bullpen (Island of four desks - Closest to door)","HSN Home Support Progr-Re3"
"","","","","Bullpen (Island of four desks - Facing window)","Indigenous Health NI Adm"
"","","","","Bullpen (Sidewall 2nd from Breakroom)","Information Management/Information Technology (IM/IT)"
"","","","","Bullpen-(Island of 4 desks-Left side of island fac","Kitchen"
"","","","","chs office","Lab"
"","","","","Cindy Perry's office-Admin area","Lab Core"
"","","","","Clinic Room","Laboratory"
"","","","","Clinic Room 1","Laboratory Core"
"","","","","Clinical Coordinator (Beside Door)","Long Term Care-Admin"
"","","","","Clinician's office","LR Specialists"
"","","","","Comfort Room","MCN Clinical Svc Mt Waddington"
"","","","","Common area(was Boardroom)","MCN NI ICMT"
"","","","","Common Room","MCN Port Hardy Youth Outreach"
"","","","","Dietitian Office (Back Office - 3rd from door)","Medical Imag Site Admin"
"","","","","Dietitian Office (Back Office - Left of door)","Medical Imaging"
"","","","","Dirty Room","Medical Imaging Admin"
"","","","","Doctors Lounge","Medical Staff Contracts"
"","","","","Doctor's Lounge","Medical Staff Cred and Priv"
"","","","","Doctor's Office (Room #4 on floor plan)","Mental Health & Substance Use"
"","","","","Doctor's office- Dr. Nicole Bennett-Boutilier","MLC"
"","","","","Eagle Ridge Manor","MRN Youth Addictions Treatment"
"","","","","Eagle Ridge Manor Nurses Station","Mt Waddington Indig Hlth"
"","","","","Emergency (Between two cabinets)","Mt Waddington Public Health"
"","","","","Environment Office (Front of building)","Mt Waddington Reg Admin"
"","","","","ER","Mt Waddington Strath Adm"
"","","","","ERM Recreation Office","NI ICMT"
"","","","","Evan Rogers for home","NI Medical Imaging"
"","","","","False","NP Port Hardy Indigenous"
"","","","","For use at Home","NRGH Emergency Services"
"","","","","Front door - Ambassador","NRGH ICU HAU & Respira Thrpy"
"","","","","Front Office","Nursing"
"","","","","General Office","NVI CYF"
"","","","","General Office - SOHO","NVI Home & Comm Care"
"","","","","General Office (Community Health Services Admin Su","NVI Long Term Care"
"","","","","General Office (Community Health Services)","NVI MHAS"
"","","","","General Office (Home Care - Left)","NVI Port Hardy Primary Care"
"","","","","General Office (Home Care - Right)","NVI Port Hardy Rural Svcs"
"","","","","General Office (Medical Records)","NVI Port McNeill"
"","","","","Hayley's Office","NVI Primary Care"
"","","","","Home & Community office","OBGH HUB Admin"
"","","","","ICMT Admin","PAH Emergency/acute care"
"","","","","IM/IT office","PAH Emergency/Ambulatory Care"
"","","","","Indigenous Health","Patient Food Services"
"","","","","Indigenous Health-Dean Wilson","PH Primary Care Ctr"
